INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-80	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	灰层
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newlevelup/sj_diban.png	0	0	0	0	0.5	0.5	535	434	568	384	512	454	535	384	509.4	384	-1	Type1背景
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newlevelup/lv.png	0	0	0	0	0.5	0.5	473	370	506	320	450	390	473	320	447.4	320	-1	Type1LV图
3	0	1	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	573	350	606	300	550	370	573	300	547.4	300	-1	Type1LV值
4	0	1	1	0	CMenuItemSprite	-85	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	535	260	568	210	512	280	535	210	509.4	210	-1	Type1确定按钮
5	0	1	1	0	CCLabelTTF	0	1	2006	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	260	568	210	512	280	535	210	509.4	210	-1	Type1确定按钮文字
6	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newlevelup/sj_diban_02.png	0	0	0	0	0.5	0.5	535	430	568	380	512	450	535	380	509.4	380	-1	Type2背景
7	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newlevelup/lv.png	0	0	0	0	0.5	0.5	473	450	506	400	450	470	473	400	447.4	400	-1	Type2LV图
8	0	5	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	573	430	606	380	550	450	573	380	547.4	380	-1	Type2LV值
9	0	5	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	400	568	350	512	420	535	350	509.4	350	-1	Type2技能标题
10	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	330	568	280	512	350	535	280	509.4	280	-1	Type2技能背景
11	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	330	568	280	512	350	535	280	509.4	280	-1	Type2技能图标
