INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/lianjin/lj_ditu.png	0	0	0	0	0.5	0.5	600	300	600	300	620	373	600	300	600	300	-1	炼金底板
1	0	1	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0.5	0.5	600	450	600	450	620	555	600	450	600	450	-1	第一行字
2	0	1	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0.5	0.5	600	400	600	400	620	520	600	400	600	400	-1	第二行字
3	1	2	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/lianjin.json	resource/spine/lianjin.atlas	xian	0	0	0	0	0	0	0	0	520	375	0	0	0	0	-1	xian 动画Spine
4	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/lianjin/kuang_nei.png	0	0	0	0	0.5	0.5	600	300	600	300	620	373	600	300	600	300	-1	滚筒底板
5	0	4	1	0	MaskNode	0	1	0	0	0	0	0	140	0	0	0	0	116	200	0	0	310	200	310	200	320	273	310	200	310	200	-1	滚筒1
6	0	4	1	0	MaskNode	0	1	0	0	0	0	0	140	0	0	0	0	116	200	0	0	410	200	410	200	420	273	410	200	410	200	-1	滚筒2
7	0	4	1	0	MaskNode	0	1	0	0	0	0	0	140	0	0	0	0	116	200	0	0	510	200	510	200	520	273	510	200	510	200	-1	滚筒3
8	0	4	1	0	MaskNode	0	1	0	0	0	0	0	140	0	0	0	0	116	200	0	0	610	200	610	200	620	273	610	200	610	200	-1	滚筒4
9	0	4	1	0	MaskNode	0	1	0	0	0	0	0	140	0	0	0	0	116	200	0	0	710	200	710	200	720	273	710	200	710	200	-1	滚筒5
10	0	4	1	0	MaskNode	0	1	0	0	0	0	0	140	0	0	0	0	116	200	0	0	810	200	810	200	820	273	810	200	810	200	-1	滚筒6
11	1	5	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/lianjin.json	resource/spine/lianjin.atlas	cardglow	0	0	0	0	0	0	0	0	518	378	0	0	0	0	-1	cardglow 动画Spine
12	1	5	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/lianjin.json	resource/spine/lianjin.atlas	cardglow	0	0	0	0	0	0	0	0	618	378	0	0	0	0	-1	cardglow 动画Spine
13	1	5	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/lianjin.json	resource/spine/lianjin.atlas	cardglow	0	0	0	0	0	0	0	0	718	378	0	0	0	0	-1	cardglow 动画Spine
14	1	5	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/lianjin.json	resource/spine/lianjin.atlas	cardglow	0	0	0	0	0	0	0	0	818	378	0	0	0	0	-1	cardglow 动画Spine
15	1	5	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/lianjin.json	resource/spine/lianjin.atlas	cardglow	0	0	0	0	0	0	0	0	918	378	0	0	0	0	-1	cardglow 动画Spine
16	1	5	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/lianjin.json	resource/spine/lianjin.atlas	cardglow	0	0	0	0	0	0	0	0	1018	378	0	0	0	0	-1	cardglow 动画Spine
17	0	6	1	0	MaskNode	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	130	0	0	0	0	-1	lianjinstar 粒子
18	1	7	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/lianjin.json	resource/spine/lianjin.atlas	kuang	0	0	0	0	0	0	0	0	520	375	0	0	0	0	-1	kuang 动画spine
