INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newtimedtask/contentsbox.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	"kLA_DECORATION,"
1	0	0	1	0	CTableView	-1	0	0	0	0	0	0	0	0	0	0	0	300	430	0	0	110	127	140	106	84	170	105.33	106	79.73	106	-1	"kLA_TABLE1,"
2	0	0	1	0	CTableView	-1	0	0	0	0	0	0	0	0	0	0	0	640	420	0	0	446	123	476	102	420	166	441.33	102	415.73	102	-1	"kLA_TABLE2,"
3	0	0	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	300	100	0	0	0	0	0	0	0	0	0	0	0	0	-1	"kLA_CELL_L,"
4	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box3.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	活动时间背景
5	0	0	1	0	MaskNode	0	1	53	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	活动时间标题
6	0	0	1	0	MaskNode	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	活动时间内容
7	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box3.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	活动介绍背景
8	0	0	1	0	MaskNode	0	1	54	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	活动介绍标题
9	0	0	1	0	MaskNode	0	1	0	4	0	0	0	0	0	0	0	0	520	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	活动介绍内容
10	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	-1	文字之间距离
11	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newtimedtask/contentsbox_r.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	奖品背景
12	0	1	1	0	MaskNode	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	62	68	62	68	62	68	62	68	62	68	-1	奖品组合
13	0	0	1	0	MaskNode	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	62	14	62	14	62	14	62	14	62	14	-1	奖品数量
14	0	0	1	0	MaskNode	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0.5	110	56	110	56	110	56	110	56	110	56	-1	奖品提示
15	0	0	1	0	MaskNode	0	1	174	83	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	430	50	430	50	430	50	430	50	430	50	-1	领取按钮
16	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	-1	奖品之间间距
