INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/floor1.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	"kLA_BG,"
1	0	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1008	627	1038	606	982	670	1003.33	606	977.73	606	-1	"kLA_CLOSE,"
2	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zuanshidiban.png	0	0	0	0	0.5	0.5	156	67	186	46	130	110	151.33	46	125.73	46	-1	"kLA_DIAMOND,"
3	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbidiban.png	0	0	0	0	0.5	0.5	332	67	362	46	306	110	327.33	46	301.73	46	-1	"kLA_GOLD,"
4	0	0	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	176	67	206	46	150	110	171.33	46	145.73	46	-1	kLA_DIAMOND_VALUE
5	0	0	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	352	67	382	46	326	110	347.33	46	321.73	46	-1	kLA_GOLD_VALUE
6	0	0	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tab.png	resource/image/newpublic/tab_l.png	0	0	0	0.5	0.5	166	597	196	576	140	640	161.33	576	135.73	576	-1	"kLA_TAB1,"
7	0	0	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tab.png	resource/image/newpublic/tab_l.png	0	0	0	0.5	0.5	366	597	396	576	340	640	361.33	576	335.73	576	-1	"kLA_TAB2,"
8	0	0	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tab.png	resource/image/newpublic/tab_l.png	0	0	0	0.5	0.5	566	597	596	576	540	640	561.33	576	535.73	576	-1	"kLA_TAB3,"
9	0	0	1	0	CCLabelTTF	0	1	20	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	166	597	196	576	140	640	161.33	576	135.73	576	-1	"kLA_TAB1_TITLE,"
10	0	0	1	0	CCLabelTTF	0	1	21	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	366	597	396	576	340	640	361.33	576	335.73	576	-1	"kLA_TAB2_TITLE,"
11	0	0	1	0	CCLabelTTF	0	1	2056	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	566	597	596	576	540	640	561.33	576	535.73	576	-1	"kLA_TAB3_TITLE,"
