INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newtask/renwudiban.png	0	0	0	0	0.5	0.5	564	397	568	366	512	440	533.33	366	507.73	366	-1	背景
1	0	3	1	0	CMenuItemSprite	-25	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1034	627	1038	596	982	670	1003.33	596	977.73	596	-1	关闭按钮
2	0	3	1	0	CTableView	-25	1	0	0	0	0	0	0	0	0	0	0	420	450	0	0	112	123	116	92	60	166	81.33	92	55.73	92	-1	左Table容器
3	0	3	1	1	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	410	94	0	0	0	0	0	0	0	0	0	0	0	0	-1	左单条记录宽高
4	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box3.png	0	0	0	0	0.5	0.5	622	539	626	508	570	582	591.33	508	565.73	508	-1	任务标签背景
5	0	3	1	0	CCLabelTTF	0	1	907	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	622	539	626	508	570	582	591.33	508	565.73	508	-1	任务标签
6	0	3	1	0	CCLabelTTFMultiline	0	1	0	83	0	0	0	0	0	0	0	0	280	0	0	1	576	512	580	481	524	555	545.33	481	519.73	481	-1	任务内容
7	1	3	1	0	CMenuItemSprite	-25	1	0	0	0	0	0	0	0	resource/image/newpublic/jiantou_zhengc.png	resource/image/newpublic/jiantou_anxia.png	0	0	0	0	0	872	437	876	406	820	480	841.33	406	815.73	406	-1	跳转按钮
8	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box3.png	0	0	0	0	0.5	0.5	622	386	626	355	570	429	591.33	355	565.73	355	-1	任务奖励标签背景
9	0	3	1	0	CCLabelTTF	0	1	908	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	622	386	626	355	570	429	591.33	355	565.73	355	-1	任务奖励标签
10	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newtask/jianglidiban.png	0	0	0	0	0.5	0.5	782	257	786	226	730	300	751.33	226	725.73	226	-1	奖励底板
11	1	3	1	0	DTAwardBoard	-25	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	652	287	656	256	600	330	621.33	256	595.73	256	-1	奖励1
12	0	3	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	652	232	656	201	600	275	621.33	201	595.73	201	-1	奖励1物品数量
13	1	3	1	0	DTAwardBoard	-25	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	782	287	786	256	730	330	751.33	256	725.73	256	-1	奖励2
14	0	3	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	782	232	786	201	730	275	751.33	201	725.73	201	-1	奖励2物品数量
15	1	3	1	0	DTAwardBoard	-25	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	912	287	916	256	860	330	881.33	256	855.73	256	-1	奖励3
16	0	3	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	912	232	916	201	860	275	881.33	201	855.73	201	-1	奖励3物品数量
17	1	3	1	0	CMenuItemSprite	-25	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	912	75	916	44	860	118	881.33	44	855.73	44	-1	领奖按钮
18	1	3	1	0	CCLabelTTF	0	1	909	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	912	75	916	44	860	118	881.33	44	855.73	44	-1	领奖文字
19	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zuanshidiban.png	0	0	0	0	0.5	0.5	182	67	186	36	130	110	151.33	36	125.73	36	-1	钻石背景
20	0	3	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	202	67	206	36	150	110	171.33	36	145.73	36	-1	钻石数量
21	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbidiban.png	0	0	0	0	0.5	0.5	358	67	362	36	306	110	327.33	36	301.73	36	-1	金币背景
22	0	3	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	378	67	382	36	326	110	347.33	36	321.73	36	-1	金币数量
23	0	-2	1	0	CPriorityLayerColor	-24	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	灰层蒙板
24	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/floor1.png	0	0	0	0	0.5	0.5	564	341	568	310	512	384	533.33	310	507.73	310	-1	背景木板
25	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/beijingditu.png	0	0	0	0	0.5	0.5	564	341	568	310	512	384	533.33	310	507.73	310	-1	背景图片
26	0	3	1	0	SceneEffect	0	1	0	0	0	2059	0	0	0	0	0	0	0	0	0	0	822	384	826	353	770	427	791.33	353	765.73	353	-1	跳转按钮特效
