INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-50	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	灰层
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newsaod/saodang.png	0	0	538	409	0.5	0.5	535	387	568	323	512	387	533.33	323	507.73	323	-1	最外bg
2	0	1	1	0	CMenuItemSprite	-60	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	823	610	856	546	800	610	821.33	546	795.73	546	-1	关闭按钮
3	0	1	1	0	CMenuItemSprite	-60	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	333	125	366	61	310	125	331.33	61	305.73	61	-1	扫荡5次按钮
4	0	1	1	0	CCLabelTTF	0	1	119	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	333	125	366	61	310	125	331.33	61	305.73	61	-1	扫荡5次按钮文字
5	0	1	1	0	CMenuItemSprite	-60	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	533	125	566	61	510	125	531.33	61	505.73	61	-1	扫荡20次按钮
6	0	1	1	0	CCLabelTTF	0	1	120	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	533	125	566	61	510	125	531.33	61	505.73	61	-1	扫荡20次按钮文字
7	0	1	1	0	CMenuItemSprite	-60	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	733	125	766	61	710	125	731.33	61	705.73	61	-1	扫荡全部体力次按钮
8	0	1	1	0	CCLabelTTF	0	1	118	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	733	125	766	61	710	125	731.33	61	705.73	61	-1	扫荡全部次按钮文字
9	0	1	1	0	CMenuItemSprite	-60	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	533	125	566	61	510	125	531.33	61	505.73	61	-1	boss扫荡全部体力次按钮
10	0	1	1	0	CCLabelTTF	0	1	118	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	533	125	566	61	510	125	531.33	61	505.73	61	-1	boss扫荡全部次按钮文字
11	0	1	1	0	CCLabelTTF	0	1	121	49	0	0	0	0	0	0	0	0	0	0	0	0.5	603	550	636	486	580	550	601.33	486	575.73	486	-1	扫荡次数
12	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newresult/jingyan_icon.png	0	0	538	409	0.5	0.5	373	480	406	416	350	480	371.33	416	345.73	416	-1	经验图标
13	0	1	1	0	CCLabelTTF	0	1	111	49	0	0	0	0	0	0	0	0	0	0	0	0.5	423	480	456	416	400	480	421.33	416	395.73	416	-1	经验值
14	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon_b.png	0	0	538	409	0.5	0.5	623	480	656	416	600	480	621.33	416	595.73	416	-1	金钱图标
15	0	1	1	0	CCLabelTTF	0	1	111	49	0	0	0	0	0	0	0	0	0	0	0	0.5	673	480	706	416	650	480	671.33	416	645.73	416	-1	金钱值
16	0	0	1	0	DTAwardBoard	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	538	409	0.5	0.5	333	400	366	336	310	400	331.33	336	305.73	336	-1	物品1
17	0	1	1	0	CCLabelTTF	0	1	111	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	333	345	366	281	310	345	331.33	281	305.73	281	-1	图标个数1
18	0	0	1	0	DTAwardBoard	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	538	409	0.5	0.5	433	400	466	336	410	400	431.33	336	405.73	336	-1	物品2
19	0	1	1	0	CCLabelTTF	0	1	111	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	433	345	466	281	410	345	431.33	281	405.73	281	-1	图标个数2
