INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/hunt_mining_bg.png	0	0	0	0	0.5	0.5	535	350	568	316	512	380	533.33	316	507.73	316	-1	底图
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/floor1.png	0	0	0	0	0.5	0.5	535	350	568	316	512	380	533.33	316	507.73	316	-1	背板
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/dijing_diban.png	0	0	0	0	0.5	0.5	535	350	568	316	512	380	533.33	316	507.73	316	-1	阴影
3	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/airen_icon.png	0	0	0	0	0.5	0.5	122	625	155	591	99	655	120.33	591	94.73	591	-1	矿区图标
4	0	2	1	0	CCLabelTTF	0	1	66	64	0	0	0	0	0	0	0	0	0	0	0	0.5	164	614	197	580	141	644	162.33	580	136.73	580	-1	矿区字
5	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/arrow_l.png	resource/image/newpublic/arrow_l_l.png	0	0	0	0.5	0.5	116	338	149	304	93	368	114.33	304	88.73	304	-1	左箭头
6	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/arrow_r.png	resource/image/newpublic/arrow_r_l.png	0	0	0	0.5	0.5	961	336	994	302	938	366	959.33	302	933.73	302	-1	右箭头
7	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/xianshikuang_kuangdong.png	0	0	0	0	0.5	0.5	770	618	800	585	770	648	765.33	585	739.73	585	-1	剩余次数底板
8	0	3	1	0	CCLabelTTF	0	1	923	97	0	0	0	0	0	0	0	0	0	0	0.5	0.5	770	618	800	585	770	648	765.33	585	739.73	585	-1	抢矿位花费
9	0	4	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon.png	0	0	0	0	0.5	0.5	786	618	816	585	786	648	781.33	585	755.73	585	-1	金币图标
10	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tubiaomingchengdiban.png	0	0	0	0	0.5	0.5	535	75	568	42	512	105	533.33	42	507.73	42	-1	页码底板
11	0	3	1	0	CCLabelTTF	0	1	0	97	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	75	568	42	512	105	533.33	42	507.73	42	-1	页码值
12	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/kuaisuhuicheng_up.png	resource/image/newpublic/kuaisuhuicheng_down.png	0	0	0	0.5	0.5	989	629	1022	580	966	659	987.33	580	961.73	580	-1	快速回城按钮
13	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/fanhui_up.png	resource/image/newpublic/fanhui_down.png	0	0	0	0.5	0.5	989	82	1022	48	966	112	987.33	48	961.73	48	-1	返回上一页按钮
14	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/wodeweizhi_diban.png	0	0	0	0	0.5	0.5	334	466	367	432	311	496	332.33	432	306.73	432	-1	位置底板1
15	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/wodeweizhi_icon.png	0	0	0	0	0	0	144	534	177	500	121	564	142.33	500	116.73	500	-1	我的位置标签1
16	0	3	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	228	464	261	430	205	494	226.33	430	200.73	430	-1	质量图1
17	0	5	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dengjikuang.png	0	0	0	0	0.5	0.5	180	507	213	473	157	537	178.33	473	152.73	473	-1	等级底板1
18	0	6	1	0	CCLabelTTF	0	1	0	92	0	0	0	0	0	0	0	0	0	0	0.5	0.5	180	507	213	473	157	537	178.33	473	152.73	473	-1	等级1
19	0	3	1	0	CCLabelTTF	0	1	918	3	0	0	0	0	0	0	0	0	0	0	0.5	0.5	320	502	353	468	297	532	318.33	468	292.73	468	-1	名字1
20	0	4	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0.5	0.5	431	502	464	468	408	532	429.33	468	403.73	468	-1	名字值1
21	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	150	32	0.5	0.5	431	502	464	468	408	532	429.33	468	403.73	468	-1	名字底板1
22	0	3	1	0	CCLabelTTF	0	1	919	3	0	0	0	0	0	0	0	0	0	0	0.5	0.5	320	472	353	438	297	502	318.33	438	292.73	438	-1	时间1
