INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/hunt_mining_bg.png	0	0	0	0	0.5	0.5	535	350	568	316	512	380	533.33	316	507.73	316	-1	底图
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/floor1.png	0	0	0	0	0.5	0.5	535	350	568	316	512	380	533.33	316	507.73	316	-1	背板
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/dijing_diban.png	0	0	0	0	0.5	0.5	535	350	568	316	512	380	533.33	316	507.73	316	-1	阴影
3	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/dijing_icon.png	0	0	0	0	0.5	0.5	122	625	155	591	99	655	120.33	591	94.73	591	-1	地精图标
4	0	2	1	0	CCLabelTTF	0	1	65	64	0	0	0	0	0	0	0	0	0	0	0	0.5	164	614	197	580	141	644	162.33	580	136.73	580	-1	地精矿区字
5	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/wodeweizhi_diban.png	0	0	0	0	0.5	0.5	334	466	367	432	311	496	332.33	432	306.73	432	-1	位置底板
6	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/wodeweizhi_icon.png	0	0	0	0	0	0	144	534	177	500	121	564	142.33	500	116.73	500	-1	我的位置标签
7	0	3	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	228	464	261	430	205	494	226.33	430	200.73	430	-1	质量图
8	0	5	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dengjikuang.png	0	0	0	0	0.5	0.5	180	507	213	473	157	537	178.33	473	152.73	473	-1	等级底板
9	0	6	1	0	CCLabelTTF	0	1	0	92	0	0	0	0	0	0	0	0	0	0	0.5	0.5	180	507	213	473	157	537	178.33	473	152.73	473	-1	等级
10	0	3	1	0	CCLabelTTF	0	1	918	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	320	502	353	468	297	532	318.33	468	292.73	468	-1	名字
11	0	4	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	431	502	464	468	408	532	429.33	468	403.73	468	-1	名字值
12	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	150	32	0.5	0.5	431	502	464	468	408	532	429.33	468	403.73	468	-1	名字底板
13	0	3	1	0	CCLabelTTF	0	1	919	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	320	472	353	438	297	502	318.33	438	292.73	438	-1	时间
14	0	4	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	431	472	464	438	408	502	429.33	438	403.73	438	-1	时间值
15	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	150	32	0.5	0.5	431	472	464	438	408	502	429.33	438	403.73	438	-1	时间底板
16	0	3	1	0	CCLabelTTF	0	1	920	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	320	443	353	409	297	473	318.33	409	292.73	409	-1	累计获得
17	0	4	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	431	443	464	409	408	473	429.33	409	403.73	409	-1	累计获得值
18	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	150	32	0.5	0.5	431	443	464	409	408	473	429.33	409	403.73	409	-1	累计获得底板
19	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	0	0	0	0.5	0.5	446	399	479	365	423	429	444.33	365	418.73	365	-1	结束采集按钮
20	0	4	1	0	CCLabelTTF	0	1	921	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	446	399	479	365	423	429	444.33	365	418.73	365	-1	结束采集按钮字
21	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/kuaisuhuicheng_up.png	resource/image/newpublic/kuaisuhuicheng_down.png	0	0	0	0.5	0.5	989	629	1022	580	966	659	987.33	580	961.73	580	-1	快速回城按钮
22	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/fanhui_up.png	resource/image/newpublic/fanhui_down.png	0	0	0	0.5	0.5	989	82	1022	48	966	112	987.33	48	961.73	48	-1	返回上一页按钮
