INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/hunt_mining_bg.png	0	0	0	0	0	0	23	-30	56	-64	0	0	21.33	-64	-4.27	-64	-1	地图0
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/hunt_mining_bg.png	0	0	0	0	0	0	1047	-30	1080	-64	1024	0	1045.33	-64	1019.73	-64	-1	地图1
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/maoxian_hdiban.png	0	0	0	0	0.5	0	535	-30	568	-64	512	0	533.33	-64	507.73	-64	-1	深色条
3	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/hunt_board.png	0	0	0	0	0.5	0.5	535	354	568	320	512	384	533.33	320	507.73	320	-1	边框
4	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	236	217	269	183	213	247	234.33	183	208.73	183	-1	人物挂载点
5	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	217	756	183	700	247	721.33	183	695.73	183	-1	特效挂载点
6	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1047	217	1080	183	1024	247	1045.33	183	1019.73	183	-1	怪物挂载点
7	0	3	1	0	CProgressInnerBar	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jindutiao.png	0	0	0	0	0	0	351	132	384	98	328	162	349.33	98	323.73	98	-1	进度条
8	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jindutiao_di.png	0	0	0	0	0.5	0	535	120	568	86	512	150	533.33	86	507.73	86	-1	进度条背板
9	0	4	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0.5	0	535	130	568	96	512	160	533.33	96	507.73	96	-1	进度
10	0	3	1	0	CCLabelTTFMultiline	0	1	0	42	0	0	0	0	0	0	0	0	350	100	0	1	338	111	371	77	315	141	336.33	77	310.73	77	-1	遭遇说明
11	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/xunbao_up.png	resource/image/kuangdong/xunbao_down.png	0	0	0	0	0	773	55	806	21	750	85	771.33	21	745.73	21	-1	寻宝按钮
