INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/dijing_diban.png	0	0	0	0	0.5	0.5	535	350	568	316	512	380	533.33	316	507.73	316	-1	背板
1	0	2	1	0	CCLabelTTF	0	1	0	96	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	545	568	511	512	575	533.33	511	507.73	511	-1	矿区说明
2	0	1	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	200	32	0.5	0.5	535	545	568	511	512	575	533.33	511	507.73	511	-1	矿区说明底板
3	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/jinkuangcaiji_xinxi.png	0	0	0	0	0	0	113	140	146	106	90	170	111.33	106	85.73	106	-1	矿区底板1
4	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/dijing_icon.png	0	0	0	0	0.5	0.5	153	450	186	416	130	480	151.33	416	125.73	416	-1	矿区pic1
5	0	1	1	0	CCLabelTTF	0	1	65	30	0	0	0	0	0	0	0	0	0	0	0	0	223	455	256	421	200	485	221.33	421	195.73	421	-1	矿区名字1
6	0	1	1	0	CCLabelTTF	0	1	68	29	0	0	0	0	0	0	0	0	0	0	0	0	173	350	206	316	150	380	171.33	316	145.73	316	-1	采集时间1
7	0	1	1	0	CCLabelTTF	0	1	69	29	0	0	0	0	0	0	0	0	0	0	0	0	173	310	206	276	150	340	171.33	276	145.73	276	-1	金币产量1
8	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	243	190	276	156	220	220	241.33	156	215.73	156	-1	按钮1
9	0	2	1	0	CCLabelTTF	0	1	72	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	243	190	276	156	220	220	241.33	156	215.73	156	-1	按钮1字
10	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/jinkuangcaiji_xinxi.png	0	0	0	0	0	0	408	140	441	106	385	170	406.33	106	380.73	106	-1	矿区底板2
11	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/airen_icon.png	0	0	0	0	0.5	0.5	448	450	481	416	425	480	446.33	416	420.73	416	-1	矿区pic2
12	0	1	1	0	CCLabelTTF	0	1	66	30	0	0	0	0	0	0	0	0	0	0	0	0	518	455	551	421	495	485	516.33	421	490.73	421	-1	矿区名字2
13	0	1	1	0	CCLabelTTF	0	1	68	29	0	0	0	0	0	0	0	0	0	0	0	0	468	350	501	316	445	380	466.33	316	440.73	316	-1	采集时间2
14	0	1	1	0	CCLabelTTF	0	1	69	29	0	0	0	0	0	0	0	0	0	0	0	0	468	310	501	276	445	340	466.33	276	440.73	276	-1	金币产量2
15	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	543	190	576	156	520	220	541.33	156	515.73	156	-1	按钮2
16	0	2	1	0	CCLabelTTF	0	1	72	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	543	190	576	156	520	220	541.33	156	515.73	156	-1	按钮2字
17	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/jinkuangcaiji_xinxi.png	0	0	0	0	0	0	703	140	736	106	680	170	701.33	106	675.73	106	-1	矿区底板3
18	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/kuangdong/julong_icon.png	0	0	0	0	0.5	0.5	743	450	776	416	720	480	741.33	416	715.73	416	-1	矿区pic3
19	0	1	1	0	CCLabelTTF	0	1	67	30	0	0	0	0	0	0	0	0	0	0	0	0	813	455	846	421	790	485	811.33	421	785.73	421	-1	矿区名字3
20	0	1	1	0	CCLabelTTF	0	1	68	29	0	0	0	0	0	0	0	0	0	0	0	0	763	350	796	316	740	380	761.33	316	735.73	316	-1	采集时间3
21	0	1	1	0	CCLabelTTF	0	1	69	29	0	0	0	0	0	0	0	0	0	0	0	0	763	310	796	276	740	340	761.33	276	735.73	276	-1	金币产量3
22	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	833	190	866	156	810	220	831.33	156	805.73	156	-1	按钮3
23	0	2	1	0	CCLabelTTF	0	1	72	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	833	190	866	156	810	220	831.33	156	805.73	156	-1	按钮3字
