INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/scn/worldmap1.jpg	0	0	0	0	0	0	0	-30	0	-64	0	0	0	-64	0	-64	-1	背景1
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/scn/worldmap2.jpg	0	0	0	0	0	0	1116	-30	1116	-64	1116	0	1116	-64	1116	-64	-1	背景2
2	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/scn/worldmap3.jpg	0	0	0	0	0	0	2292	-30	2292	-64	2292	0	2292	-64	2292	-64	-1	背景3
3	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/kuaisuhuicheng_up.png	resource/image/newpublic/kuaisuhuicheng_down.png	0	0	0	0.5	0.5	940	660	1050	560	920	690	1000	590	974.4	590	-1	回城按钮
4	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap1.png	0	0	1	0	0.5	0.5	245	585	245	551	245	615	245	551	245	551	-1	地图1
5	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap2.png	0	0	1	0	0.5	0.5	585	550	585	516	585	580	585	516	585	516	-1	地图2
6	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap3.png	0	0	1	0	0.5	0.5	495	295	495	261	495	325	495	261	495	261	-1	地图3
7	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap4.png	0	0	1	0	0.5	0.5	200	185	200	151	200	215	200	151	200	151	-1	地图4
8	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap5.png	0	0	1	0	0.5	0.5	835	175	835	141	835	205	835	141	835	141	-1	地图5
9	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap6.png	0	0	1	0	0.5	0.5	1013	323	1013	289	1013	353	1013	289	1013	289	-1	地图6
10	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap7.png	0	0	1	0	0.5	0.5	1228	537	1228	503	1228	567	1228	503	1228	503	-1	地图7
11	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap8.png	0	0	1	0	0.5	0.5	1674	558	1674	524	1674	588	1674	524	1674	524	-1	地图8
12	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/mission/missionmap9.png	0	0	1	0	0.5	0.5	1522	332	1522	298	1522	362	1522	298	1522	298	-1	地图9
