INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-90	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	灰层
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hdwp_dk.png	0	0	538	409	0.5	0.5	564	374	568	353	512	417	533.33	353	507.73	353	-1	最外bg
2	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hdwp.png	0	0	538	409	0.5	0.5	564	516	568	495	512	559	533.33	495	507.73	495	-1	获得物品标题
3	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/nryl.png	0	0	538	409	0.5	0.5	564	516	568	495	512	559	533.33	495	507.73	495	-1	内容预览标题
4	0	1	1	0	CMenuItemSprite	-100	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	564	107	568	86	512	150	533.33	86	507.73	86	-1	确定按钮
5	0	1	1	0	CCLabelTTF	0	1	224	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	107	568	86	512	150	533.33	86	507.73	86	-1	确定按钮文字
6	0	0	1	0	CSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/uparrow_l.png	resource/image/newpublic/uparrow.png	0	538	409	0.5	0.5	564	457	568	436	512	500	533.33	436	507.73	436	-1	箭头上
7	0	0	1	0	CSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/downarrow_l.png	resource/image/newpublic/downarrow.png	0	538	409	0.5	0.5	564	172	568	151	512	215	533.33	151	507.73	151	-1	箭头下
8	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	555	290	0	0	287	172	291	151	235	215	256.33	151	230.73	151	-1	滚动条可视窗口
9	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newpublic/wzikuang.png	0	0	0	0	0	0	60	0	60	0	60	0	60	0	60	0	-1	左Cell背景
10	0	3	1	0	MaskNode	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	-10	40	-10	40	-10	40	-10	40	-10	40	-1	左Cell物品
11	0	3	1	0	MaskNode	0	1	224	81	0	0	0	0	0	0	0	0	0	0	0	0.5	40	50	40	50	40	50	40	50	40	50	-1	左Cell物品名字
12	0	3	1	0	MaskNode	0	1	224	83	0	0	0	0	0	0	0	0	0	0	0	0.5	40	20	40	20	40	20	40	20	40	20	-1	左Cell物品数量
13	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newpublic/wzikuang.png	0	0	0	0	0	0	360	0	360	0	360	0	360	0	360	0	-1	右Cell背景
14	0	3	1	0	MaskNode	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	-10	40	-10	40	-10	40	-10	40	-10	40	-1	右Cell物品
15	0	3	1	0	MaskNode	0	1	224	81	0	0	0	0	0	0	0	0	0	0	0	0.5	40	50	40	50	40	50	40	50	40	50	-1	右Cell物品名字
16	0	3	1	0	MaskNode	0	1	224	83	0	0	0	0	0	0	0	0	0	0	0	0.5	40	20	40	20	40	20	40	20	40	20	-1	右Cell物品数量
