INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CPriorityLayerColor	-138	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	遮罩层
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newtips/wptips_diban.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	框1
2	0	0	1	0	CCLabelTTF	0	1	0	93	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	458	568	437	512	501	533.33	437	507.73	437	-1	"kNAME,"
3	0	0	1	0	CCLabelTTF	0	1	189	42	0	0	0	0	0	0	0	0	0	0	0	0.5	395	404	425	383	369	447	390.33	383	364.73	383	-1	"kLV,"
4	0	0	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	505	404	535	383	479	447	500.33	383	474.73	383	-1	"kLVVALUE,"
5	0	0	1	0	CCLabelTTF	0	1	190	42	0	0	0	0	0	0	0	0	0	0	0	0.5	395	368	425	347	369	411	390.33	347	364.73	347	-1	"kPRICE,"
6	0	0	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	505	368	535	347	479	411	500.33	347	474.73	347	-1	"kPRICEVALUE,"
7	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon_b.png	0	0	0	0	0	0.5	515	368	545	347	489	411	510.33	347	484.73	347	-1	"kPRICEICON,"
8	0	0	1	0	CCLabelTTFMultiline	0	1	25	42	0	0	0	0	0	0	0	0	280	0	0	1	395	323	425	302	369	366	390.33	302	364.73	302	-1	"kSTATEMENT,"
9	1	3	1	0	CMenuItemSprite	-160	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	538	198	568	177	512	241	533.33	177	507.73	177	-1	出售按钮
10	1	4	1	0	CCLabelTTF	0	1	6013	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	198	568	177	512	241	533.33	177	507.73	177	-1	出售按钮文字
