INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newshop/sd_diban02.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	背景1
1	0	5	1	0	CCLabelTTF	0	1	6011	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	95	20	95	20	95	20	95	20	95	20	-1	购买1
2	0	5	1	0	CCLabelTTF	0	1	6011	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	405	20	405	20	405	20	405	20	405	20	-1	购买2
3	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon.png	0	0	0	0	0.5	0.5	175	84	175	84	175	84	175	84	175	84	-1	宝石正价1
4	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon.png	0	0	0	0	0.5	0.5	485	84	485	84	485	84	485	84	485	84	-1	宝石正价2
5	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon.png	0	0	0	0	0.5	0.5	175	84	175	84	175	84	175	84	175	84	-1	黄金正价1
6	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon.png	0	0	0	0	0.5	0.5	485	84	485	84	485	84	485	84	485	84	-1	黄金正价2
7	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/sw_icon.png	0	0	0	0	0.5	0.5	175	84	175	84	175	84	175	84	175	84	-1	声望正价1
8	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/sw_icon.png	0	0	0	0	0.5	0.5	485	84	485	84	485	84	485	84	485	84	-1	声望正价2
9	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hzs_icon.png	0	0	0	0	0.5	0.5	175	84	175	84	175	84	175	84	175	84	-1	龙血正价1
10	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hzs_icon.png	0	0	0	0	0.5	0.5	485	84	485	84	485	84	485	84	485	84	-1	龙血正价2
11	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/shuzik.png	0	0	0	0	0.5	0.5	230	84	230	84	230	84	230	84	230	84	-1	文字框1
12	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/shuzik.png	0	0	0	0	0.5	0.5	540	84	540	84	540	84	540	84	540	84	-1	文字框2
13	0	4	1	0	CImMenuItemSprite	-11	0	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	95	20	95	20	95	20	95	20	95	20	-1	购买按钮1
14	0	4	1	0	CImMenuItemSprite	-11	0	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	405	20	405	20	405	20	405	20	405	20	-1	购买按钮2
15	0	4	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2_g.png	0	0	0	0	0.5	0.5	95	20	95	20	95	20	95	20	95	20	-1	购买按钮灰1
16	0	4	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2_g.png	0	0	0	0	0.5	0.5	405	20	405	20	405	20	405	20	405	20	-1	购买按钮灰2
17	0	5	1	0	CCLabelTTF	0	1	6059	79	0	0	0	0	0	0	0	0	0	0	0	0.5	170	15	170	15	170	15	170	15	170	15	-1	剩余数量文字1
18	0	5	1	0	CCLabelTTF	0	1	6059	79	0	0	0	0	0	0	0	0	0	0	0	0.5	480	15	480	15	480	15	480	15	480	15	-1	剩余数量文字2
19	0	5	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	230	84	230	84	230	84	230	84	230	84	-1	正常可购买颜色1
20	0	5	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	540	84	540	84	540	84	540	84	540	84	-1	正常可购买颜色2
21	0	5	1	0	CCLabelTTF	0	1	77	4	0	0	0	0	0	0	0	0	0	0	0	0.5	170	120	170	120	170	120	170	120	170	120	-1	名称1
22	0	5	1	0	CCLabelTTF	0	1	77	4	0	0	0	0	0	0	0	0	0	0	0	0.5	480	120	480	120	480	120	480	120	480	120	-1	名称2
23	0	4	1	0	DTAwardBoard	-11	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	95	90	95	90	95	90	95	90	95	90	-1	商品图标1
24	0	4	1	0	DTAwardBoard	-11	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	405	90	405	90	405	90	405	90	405	90	-1	商品图标2
