INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	33	5	33	5	33	5	33	5	33	5	-1	排名底图框
1	1	4	1	0	CCLabelTTF	0	1	0	89	0	0	0	0	0	0	0	0	0	0	0.5	0	33	27	33	27	33	27	33	27	33	27	-1	排名数字(4-10)
2	0	3	0.68	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0	92	19	92	19	92	19	92	19	92	19	-1	头像框
3	0	3	0.5	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	92	22	92	22	92	22	92	22	92	22	-1	头像
4	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newrank/xinxikuang.png	0	0	0	0	0	0	15	0	15	0	15	0	15	0	15	0	-1	背景图片
5	0	3	1	0	CCLabelTTF	0	1	75	42	0	0	0	0	0	0	0	0	0	0	0	0	133	35	133	35	133	35	133	35	133	35	-1	名称
6	0	3	1	0	CCLabelTTF	0	1	75	79	0	0	0	0	0	0	0	0	0	0	0	0	265	35	265	35	265	35	265	35	265	35	-1	等级
7	0	3	1	0	CCLabelTTF	0	1	75	81	0	0	0	0	0	0	0	0	0	0	0	0	340	35	340	35	340	35	340	35	340	35	-1	战力
8	0	3	1	0	CMenuItemSprite	-9	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	0	0	0	0.5	0.5	540	45	540	45	540	45	540	45	540	45	-1	查看按钮
9	0	3	1	0	CCLabelTTF	0	1	904	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	540	45	540	45	540	45	540	45	540	45	-1	查看文字
