INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0.5	0.5	538	341	568	284	512	384	533.33	284	507.73	284	-1	充值背景
1	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newdiamondbuy/jiemiandiban_zuanshigoumai.png	0	0	0	0	0.5	0.5	538	377	568	320	512	420	533.33	320	507.73	320	-1	购买钻石背景
2	1	2	1	0	CPriorityLayerColor	-20	1	0	0	0	0	0	0	0	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	遮罩层
3	1	2	1	0	SceneEffect	0	1	0	0	0	2013	0	0	0	0	0	0	0	0	0.5	0.5	538	341	568	284	512	384	533.33	284	507.73	284	-1	等待圈
4	0	2	1.2	0	SceneEffect	0	1	0	0	0	2056	0	0	0	0	0	0	0	0	0.5	0.5	100	610	135	550	80	650	100	550	74.4	550	-1	首冲特效
5	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newdiamondbuy/scsb.png	0	0	0	0	0.5	0.5	870	610	910	550	855	650	870	550	844.4	550	-1	首冲双倍
6	0	2	1	0	CMenuItemSprite	-21	1	0	0	0	0	0	0	0	resource/image/newdiamondbuy/shclib_zc.png	resource/image/newdiamondbuy/shclib_l.png	0	0	0	0.5	0.5	100	610	135	550	80	650	100	550	74.4	550	-1	首冲按钮
7	0	2	1	0	CMenuItemSprite	-21	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1001	667	1031	610	975	710	996.33	606	970.73	606	-1	关闭按钮
8	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newdiamondbuy/kongbaitu.png	resource/image/newdiamondbuy/xuanzhong_zuanshigoumai.png	0	0	0	0.5	0.5	224	452	254	395	198	495	219.33	395	193.73	395	-1	购买按钮1
9	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newdiamondbuy/kongbaitu.png	resource/image/newdiamondbuy/xuanzhong_zuanshigoumai.png	0	0	0	0.5	0.5	538	452	568	395	512	495	533.33	395	507.73	395	-1	购买按钮2
10	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newdiamondbuy/kongbaitu.png	resource/image/newdiamondbuy/xuanzhong_zuanshigoumai.png	0	0	0	0.5	0.5	850	452	880	395	824	495	845.33	395	819.73	395	-1	购买按钮3
11	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newdiamondbuy/kongbaitu.png	resource/image/newdiamondbuy/xuanzhong_zuanshigoumai.png	0	0	0	0.5	0.5	224	267	254	210	198	310	219.33	210	193.73	210	-1	购买按钮4
12	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newdiamondbuy/kongbaitu.png	resource/image/newdiamondbuy/xuanzhong_zuanshigoumai.png	0	0	0	0.5	0.5	538	267	568	210	512	310	533.33	210	507.73	210	-1	购买按钮5
