INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newgold/dianjinjiemian_diban.png	0	0	0	0	0.5	0.5	522	350	552	330	512	350	517.33	330	491.73	330	-1	背景
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newgold/zuanshijinbi_dianban.png	0	0	0	0	0.5	0.5	522	480	552	460	512	480	517.33	460	491.73	460	-1	钻石背景
2	0	1	1	0	SceneEffect	0	1	0	0	0	2035	0	0	0	0	0	0	0	0	0.5	0.5	522	480	552	460	512	480	517.33	460	491.73	460	-1	钻石特效
3	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newgold/zuanshijinbi.png	0	0	0	0	0.5	0.5	522	480	552	460	512	480	517.33	460	491.73	460	-1	钻石
4	0	1	1	0	CMenuItemSprite	-6	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	820	610	850	590	810	610	815.33	590	789.73	590	-1	关闭按钮
5	0	1	1	0	CCLabelTTF	0	1	612	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	522	415	552	395	512	415	517.33	395	491.73	395	-1	等级标签
6	0	1	1	0	CCLabelTTF	0	1	124	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	330	380	360	360	320	380	325.33	360	299.73	360	-1	经验标签
7	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newgold/lvsejindutiao_di.png	0	0	0	0	0.5	0.5	560	380	590	360	550	380	555.33	360	529.73	360	-1	经验条背景
8	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newgold/lvsejindutiao.png	0	0	317	22	0	0.5	402	380	432	360	392	380	397.33	360	371.73	360	-1	经验条
9	0	1	1	0	CCLabelTTF	0	1	134	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	560	380	590	360	550	380	555.33	360	529.73	360	-1	经验值
10	0	1	1	0	CCLabelTTF	0	1	140	83	0	0	0	0	0	0	0	0	0	0	0	0.5	280	320	310	300	270	320	275.33	300	249.73	300	-1	提示1
11	0	1	1	0	CCLabelTTF	0	1	141	83	0	0	0	0	0	0	0	0	0	0	0	0.5	280	290	310	270	270	290	275.33	270	249.73	270	-1	提示2
12	0	1	1	0	CMenuItemSprite	-6	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	355	210	385	190	345	210	350.33	190	324.73	190	-1	试试运气按钮
13	0	3	1	0	CCLabelTTF	0	1	143	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	355	210	385	190	345	210	350.33	190	324.73	190	-1	试试运气标签
14	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hongsejiaobia.png	0	0	0	0	0.5	0.5	425	225	455	205	415	225	420.33	205	394.73	205	-1	试试运气角标
15	0	3	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	425	225	455	205	415	225	420.33	205	394.73	205	-1	试试运气角标值
16	0	1	1	0	CCLabelTTF	0	1	145	4	0	0	0	0	0	0	0	0	0	0	0	0.5	290	150	320	130	280	150	285.33	130	259.73	130	-1	冷却时间
17	0	1	1	0	CMenuItemSprite	-6	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	695	210	725	190	685	210	690.33	190	664.73	190	-1	高级野区按钮
18	0	3	1	0	CCLabelTTF	0	1	144	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	695	210	725	190	685	210	690.33	190	664.73	190	-1	高级野区标签
19	0	2	1	0	CCLabelTTF	0	1	133	4	0	0	0	0	0	0	0	0	400	200	0.5	0.5	670	150	700	130	660	150	665.33	130	639.73	130	-1	高级野区消耗钻石值
20	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon_b.png	0	0	0	0	0.5	0.5	720	150	750	130	710	150	715.33	130	689.73	130	-1	高级野区钻石图
