INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CCNode	0	1	0	0	0	0	0	0	0	resource/image/newpublic/null.png	0	0	0	0	0	0	0	64	0	-4	0	60	0	-4	0	-4	-1	骨骼动画
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newselectrole/bg.png	0	0	0	0	0.5	0.5	564	361	568	384	512	384	533.33	384	507.73	384	-1	背景图
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newselectrole/text_bg.png	0	0	0	0	0.5	0.5	564	192	568	183	512	215	533.33	183	507.73	183	-1	介绍文字背景
3	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newselectrole/name_bg.png	0	0	0	0	0.5	0.5	556	112	560	103	504	135	525.33	103	499.73	103	-1	人物名字背景
4	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newselectrole/fuwuqidiban.png	0	0	0	0	0.5	0.5	182	697	186	610	130	720	151.33	610	125.73	610	-1	服务器背景
5	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_g.png	0	0	0	0.5	0.5	564	39	568	30	512	62	533.33	30	507.73	30	-1	进入游戏按钮
6	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newselectrole/normal_random.png	resource/image/newselectrole/select_random.png	0	0	0	0.5	0.5	710	112	714	103	658	135	679.33	103	653.73	103	-1	选名字按钮
7	0	1	1	0	CCLabelTTF	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	182	697	186	610	130	720	151.33	610	125.73	610	-1	服务器名字
8	0	1	1	0	CCLabelTTF	0	1	0	104	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	117	568	108	512	140	533.33	108	507.73	108	-1	名字
9	0	2	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	192	568	183	512	215	533.33	183	507.73	183	-1	介绍文字
10	0	0	1	0	SceneEffect	0	1	0	0	0	2015	0	0	0	0	0	0	0	0	0	0	-8	-23	-4	0	-60	0	-38.67	0	-64.27	0	-1	选人1Effect
11	0	0	1	0	SceneEffect	0	1	0	0	0	2016	0	0	0	0	0	0	0	0	0	0	-8	-23	-4	0	-60	0	-38.67	0	-64.27	0	-1	选人2Effect
12	0	0	1	0	SceneEffect	0	1	0	0	0	2016	0	0	0	0	0	0	0	0	0	0	692	-23	696	0	640	0	661.33	0	635.73	0	-1	选人2Effect
13	0	0	1	0	MaskNode	0	1	0	0	0	150	150	150	255	0	0	0	0	0	0	0	252	267	256	354	200	290	221.33	354	195.73	354	-1	选人左
14	0	0	1.2	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	177	596	264	540	200	561.33	264	535.73	264	-1	选人中
15	0	0	1	0	MaskNode	0	1	0	0	0	150	150	150	255	0	0	0	0	0	0	0	942	267	946	354	890	290	911.33	354	885.73	354	-1	选人右
16	0	2	1	0	CCLabelTTF	0	1	641	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	39	568	30	512	62	533.33	30	507.73	30	-1	进入游戏文字
