INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/bjt.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	背景
1	0	6	1	0	CMenuItemSprite	-183	1	0	0	0	0	0	0	0	resource/image/newskill/guan_z.png	resource/image/newskill/guan_l.png	0	0	0	0.5	0.5	1010	662	1100	610	982	682	1036	610	996	610	-1	关闭按钮
2	0	6	1	0	CMenuItemSprite	-183	1	0	0	0	0	0	0	0	resource/image/newskill/wenhao_z.png	resource/image/newskill/wenhao_l.png	0	0	0	0.5	0.5	53	662	30	610	25	682	30	610	30	610	-1	帮助按钮
3	0	4	1	0	CMenuItemSprite	-183	1	0	0	0	0	0	0	0	resource/image/newpublic/huiseanniu_zhengc.png	resource/image/newpublic/huiseanniu_anxia.png	0	0	0	0.5	0.5	963	130	991	120	935	140	956.33	120	930.73	120	-1	刷新技能 重置按钮
4	0	4	1	0	CCLabelTTF	0	1	246	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	963	130	991	120	935	140	956.33	120	930.73	120	-1	刷新技能 重置文字
5	0	4	1	0	CMenuItemSprite	-183	1	0	0	0	0	0	0	0	resource/image/newpublic/huiseanniu_zhengc.png	resource/image/newpublic/huiseanniu_anxia.png	0	0	0	0.5	0.5	963	96	991	86	935	106	956.33	86	930.73	86	-1	显示加点 加点按钮
6	0	4	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	963	96	991	86	935	106	956.33	86	930.73	86	-1	显示加点 加点文字
7	0	4	1	0	CMenuItemSprite	-183	1	0	0	0	0	0	0	0	resource/image/newpublic/huiseanniu_zhengc.png	resource/image/newpublic/huiseanniu_anxia.png	0	0	0	0.5	0.5	963	130	991	120	935	140	956.33	120	930.73	120	-1	回收加点 重置按钮
8	0	4	1	0	CCLabelTTF	0	1	246	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	963	130	991	120	935	140	956.33	120	930.73	120	-1	回收加点 重置文字
9	0	4	1	0	CMenuItemSprite	-183	1	0	0	0	0	0	0	0	resource/image/newpublic/huiseanniu_zhengc.png	resource/image/newpublic/huiseanniu_anxia.png	0	0	0	0.5	0.5	963	96	991	86	935	106	956.33	86	930.73	86	-1	确定加点 确定按钮
10	0	4	1	0	CCLabelTTF	0	1	224	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	963	96	991	86	935	106	956.33	86	930.73	86	-1	确定加点 确定文字
11	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newskill/dik.png	0	0	0	0	0.5	0.5	540	342	568	332	512	352	533.33	332	507.73	332	-1	技能面板(图)
12	0	6	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	103	520	131	510	75	530	96.33	510	70.73	510	-1	技能面板 左上 起点坐标
13	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	97	85	0.5	0.5	28	-10	56	-20	0	0	21.33	-20	-4.27	-20	-1	技能面板 相对偏移 Width Height
14	0	5	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newpublic/kuang65.png	0	0	0	0	0	0	28	-10	56	-20	0	0	21.33	-20	-4.27	-20	-1	技能背景图片
15	0	7	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newpublic/grey.png	0	0	0	0	0	0	28	-10	56	-20	0	0	21.33	-20	-4.27	-20	-1	技能置灰背景图片
