INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newadventure/maoxianjiemian_dibam.png	0	0	0	0	0.5	0.5	564	359	568	265	512	374	534.33	273	508.73	273	-1	关卡背景
1	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/kuaisuhuicheng_up.png	resource/image/newpublic/kuaisuhuicheng_down.png	0	0	0	0.5	0.5	1024	660	1080	566	900	700	1016	566	976	566	-1	快速回城
2	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/fanhui_up.png	resource/image/newpublic/fanhui_down.png	0	0	0	0.5	0.5	1024	80	1080	48	966	112	1024	48	988	48	-1	返回按钮
3	0	1	1	0	CCLabelTTF	0	1	373	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	660	568	566	512	675	534.33	574	508.73	574	-1	场景名称标签
4	0	1	1	0	CCLabelTTF	0	1	146	97	0	0	0	0	0	0	0	0	0	0	0	0.5	172	285	176	191	120	300	142.33	199	116.73	199	-1	奖励标签
5	0	1	0.7	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newadventure/jingyan_icon.png	0	0	0	0	0.5	0.5	302	285	306	191	250	300	272.33	199	246.73	199	-1	奖励经验图标
6	0	1	1	0	CCLabelTTF	0	1	133	49	0	0	0	0	0	0	0	0	0	0	0	0.5	332	285	336	191	280	300	302.33	199	276.73	199	-1	奖励经验
7	0	1	0.8	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon_b.png	0	0	0	0	0.5	0.5	412	285	416	191	360	300	382.33	199	356.73	199	-1	奖励金钱图标
8	0	1	1	0	CCLabelTTF	0	1	133	49	0	0	0	0	0	0	0	0	0	0	0	0.5	442	285	446	191	390	300	412.33	199	386.73	199	-1	奖励金钱
9	0	1	1	0	CCLabelTTF	0	1	135	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	902	185	906	91	850	200	872.33	99	846.73	99	-1	消耗体力
10	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon.png	0	0	0	0	0.5	0.5	942	190	946	96	890	205	912.33	104	886.73	104	-1	重置钻石图
11	0	1	1	0	CCLabelTTF	0	1	147	97	0	0	0	0	0	0	0	0	0	0	0	0.5	172	255	176	161	120	270	142.33	169	116.73	169	-1	有几率获得标签
