INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/nuli/touxianglan_huangsejianbian.png	0	0	0	0	0	0	80	455	80	455	80	455	80	455	80	455	-1	仆从1背景
1	0	2	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	160	505	160	505	160	505	160	505	160	505	-1	仆从1头像
2	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	208	520	208	520	208	520	208	520	208	520	-1	仆从1名字
3	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	325	520	325	520	325	520	325	520	325	520	-1	仆从1等级
4	0	1	1	0	CCLabelTTF	0	1	625	4	0	0	0	0	0	0	0	0	0	0	0	0	208	495	208	495	208	495	208	495	208	495	-1	仆从1干活时间
5	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	325	495	325	495	325	495	325	495	325	495	-1	仆从1干活时间值
6	0	1	1	0	CCLabelTTF	0	1	626	4	0	0	0	0	0	0	0	0	0	0	0	0	208	470	208	470	208	470	208	470	208	470	-1	仆从1产出经验
7	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	325	470	325	470	325	470	325	470	325	470	-1	仆从1产出经验1值
8	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	510	529	510	529	510	529	510	529	510	529	-1	仆从1调教按钮
9	0	2	1	0	CCLabelTTF	0	1	948	42	0	0	0	0	0	0	0	0	0	0	0.5	0.5	510	529	510	529	510	529	510	529	510	529	-1	调教字
10	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	510	482	510	482	510	482	510	482	510	482	-1	仆从1压榨按钮
11	0	2	1	0	CCLabelTTF	0	1	949	42	0	0	0	0	0	0	0	0	0	0	0.5	0.5	510	482	510	482	510	482	510	482	510	482	-1	压榨字
12	0	3	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	160	450	160	450	160	450	160	450	160	450	-1	仆从1释放按钮
13	0	4	1	0	CCLabelTTF	0	1	950	42	0	0	0	0	0	0	0	0	0	0	0.5	0.5	160	450	160	450	160	450	160	450	160	450	-1	释放字
14	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/nuli/zhuabu_up.png	resource/image/nuli/zhuabu_down.png	0	0	0	0.5	0.5	300	492	300	492	300	492	300	492	300	492	-1	仆从1抓捕按钮
15	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/nuli/touxianglan_huangsejianbian.png	0	0	0	0	0	0	80	325	80	325	80	325	80	325	80	325	-1	仆从2背景
16	0	2	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	160	375	160	375	160	375	160	375	160	375	-1	仆从2头像
17	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	208	390	208	390	208	390	208	390	208	390	-1	仆从2名字
18	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	325	390	325	390	325	390	325	390	325	390	-1	仆从2等级
