INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/nuli/touxianglan_huangsejianbian.png	0	0	0	0	0	0	5	0	5	0	5	0	5	0	5	0	-1	背景
1	0	2	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	85	50	85	50	85	50	85	50	85	50	-1	外套图
2	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	130	65	130	65	130	65	130	65	130	65	-1	好友名字
3	0	1	1	0	CCLabelTTF	0	1	671	4	0	0	0	0	0	0	0	0	0	0	0	0	133	40	133	40	133	40	133	40	133	40	-1	好友主人名字
4	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	215	40	215	40	215	40	215	40	215	40	-1	主人名字值
5	0	1	1	0	CCLabelTTF	0	1	672	4	0	0	0	0	0	0	0	0	0	0	0	0	133	15	133	15	133	15	133	15	133	15	-1	好友主人战力
6	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	240	15	240	15	240	15	240	15	240	15	-1	战力值
7	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	385	53	385	53	385	53	385	53	385	53	-1	解救按钮
8	0	2	1	0	CCLabelTTF	0	1	951	42	0	0	0	0	0	0	0	0	0	0	0.5	0.5	385	53	385	53	385	53	385	53	385	53	-1	解救字
9	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/nuli/touxianglan_huangsejianbian.png	0	0	0	0	0	0	455	0	455	0	455	0	455	0	455	0	-1	背景
10	0	2	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	50	535	50	535	50	535	50	535	50	-1	外套图
11	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	580	65	580	65	580	65	580	65	580	65	-1	好友名字
12	0	1	1	0	CCLabelTTF	0	1	671	4	0	0	0	0	0	0	0	0	0	0	0	0	583	40	583	40	583	40	583	40	583	40	-1	好友主人名字
13	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	665	40	665	40	665	40	665	40	665	40	-1	主人名字值
14	0	1	1	0	CCLabelTTF	0	1	672	4	0	0	0	0	0	0	0	0	0	0	0	0	583	15	583	15	583	15	583	15	583	15	-1	好友主人战力
15	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	690	15	690	15	690	15	690	15	690	15	-1	战力值
16	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	835	53	835	53	835	53	835	53	835	53	-1	解救按钮
17	0	2	1	0	CCLabelTTF	0	1	951	42	0	0	0	0	0	0	0	0	0	0	0.5	0.5	835	53	835	53	835	53	835	53	835	53	-1	解救字
