INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/nuli/diban_nuli.png	0	0	0	0	0.5	0.5	535	350	568	316	512	380	533.33	316	507.73	316	-1	背景
1	0	2	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	188	555	221	521	165	585	186.33	521	160.73	521	-1	page0字
2	0	1	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/liaotian_tab_down.png	resource/image/newpublic/liaotian_tab_up.png	0	0	0	0.5	0.5	188	555	221	521	165	585	186.33	521	160.73	521	-1	page0按钮
3	0	2	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	348	555	381	521	325	585	346.33	521	320.73	521	-1	page1字
4	0	1	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/liaotian_tab_down.png	resource/image/newpublic/liaotian_tab_up.png	0	0	0	0.5	0.5	348	555	381	521	325	585	346.33	521	320.73	521	-1	page1按钮
5	0	2	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	509	555	542	521	486	585	507.33	521	481.73	521	-1	page2字
6	0	1	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/liaotian_tab_down.png	resource/image/newpublic/liaotian_tab_up.png	0	0	0	0.5	0.5	509	555	542	521	486	585	507.33	521	481.73	521	-1	page2按钮
7	0	1	1	0	CCLabelTTF	0	1	0	29	0	0	0	0	0	0	0	0	0	0	1	0.5	843	560	876	526	820	590	841.33	526	815.73	526	-1	今日剩余次数
8	0	2	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	878	560	911	526	855	590	876.33	526	850.73	526	-1	次数值
9	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/subscript_b.png	0	0	0	0	0.5	0.5	878	560	911	526	855	590	876.33	526	850.73	526	-1	次数值背景
10	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	-30	56	-64	0	0	21.33	-64	-4.27	-64	-1	子页面挂载点
