INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CTableView	-12	0	0	0	0	0	0	0	0	0	0	0	690	445	0	0	344	120	374	64	318	128	339.33	64	313.73	64	-1	TABLEVIEW
1	0	-1	1	0	CCNode	-21	1	0	0	0	0	0	0	0	0	0	0	340	146	0	0	0	0	0	0	0	0	0	0	0	0	-1	TABLEVIEWCELL结点
2	1	-1	1	0	CPriorityLayerColor	-20	1	0	0	0	0	0	0	0	0	0	0	1136	500	0	0	78	92	56	71	0	135	21.33	71	-4.27	71	-1	遮罩层
3	1	-1	1	0	SceneEffect	0	1	0	0	0	2013	0	0	0	0	0	0	0	0	0.5	0.5	590	341	568	320	512	384	533.33	320	507.73	320	-1	精灵节点
4	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zsdk.png	0	0	0	0	0.5	0.5	188	67	166	46	110	110	131.33	46	105.73	46	-1	框1
5	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zsdk.png	0	0	0	0	0.5	0.5	378	67	356	46	300	110	321.33	46	295.73	46	-1	框2
6	0	3	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	208	67	186	46	130	110	151.33	46	125.73	46	-1	框显示数1
7	0	3	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	398	67	376	46	320	110	341.33	46	315.73	46	-1	框显示数2
8	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon_b.png	0	0	0	0	0.5	0.5	324	70	302	49	246	113	267.33	49	241.73	49	-1	金币图标
9	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon_b.png	0	0	0	0	0.5	0.5	134	70	112	49	56	113	77.33	49	51.73	49	-1	钻石图标
10	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hzs_icon_b.png	0	0	0	0	0.5	0.5	134	70	112	49	56	113	77.33	49	51.73	49	-1	龙血晶石图标
11	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/sw_icon_b.png	0	0	0	0	0.5	0.5	134	70	112	49	56	113	77.33	49	51.73	49	-1	声望图标
12	0	3	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	节点
