INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newshop/sd_diban02.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	背景1
1	0	9	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	145	20	145	20	145	20	145	20	145	20	-1	箭头节点
2	0	5	1	0	CCLabelTTF	0	1	6011	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	95	20	95	20	95	20	95	20	95	20	-1	购买1
3	0	5	1	0	CCLabelTTF	0	1	6011	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	405	20	405	20	405	20	405	20	405	20	-1	购买2
4	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon.png	0	0	0	0	0.5	0.5	175	84	175	84	175	84	175	84	175	84	-1	宝石正价1
5	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon.png	0	0	0	0	0.5	0.5	485	84	485	84	485	84	485	84	485	84	-1	宝石正价2
6	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon.png	0	0	0	0	0.5	0.5	175	50	175	50	175	50	175	50	175	50	-1	宝石打折1
7	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon.png	0	0	0	0	0.5	0.5	485	50	485	50	485	50	485	50	485	50	-1	宝石打折2
8	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon.png	0	0	0	0	0.5	0.5	175	84	175	84	175	84	175	84	175	84	-1	黄金正价1
9	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon.png	0	0	0	0	0.5	0.5	485	84	485	84	485	84	485	84	485	84	-1	黄金正价2
10	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon.png	0	0	0	0	0.5	0.5	175	50	175	50	175	50	175	50	175	50	-1	黄金打折1
11	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon.png	0	0	0	0	0.5	0.5	485	50	485	50	485	50	485	50	485	50	-1	黄金打折2
12	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/sw_icon.png	0	0	0	0	0.5	0.5	175	84	175	84	175	84	175	84	175	84	-1	声望正价1
13	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/sw_icon.png	0	0	0	0	0.5	0.5	485	84	485	84	485	84	485	84	485	84	-1	声望正价2
14	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/sw_icon.png	0	0	0	0	0.5	0.5	175	50	175	50	175	50	175	50	175	50	-1	声望打折1
15	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/sw_icon.png	0	0	0	0	0.5	0.5	485	50	485	50	485	50	485	50	485	50	-1	声望打折2
16	0	6	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hzs_icon.png	0	0	0	0	0.5	0.5	175	84	175	84	175	84	175	84	175	84	-1	龙血正价1
