INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/xxk.png	0	0	0	0	0.5	0.5	535	384	568	324	512	384	533.33	324	507.73	324	-1	背景图片
1	0	2	1	0	CCLabelTTF	0	1	75	104	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	627	568	567	512	627	533.33	567	507.73	567	-1	技能名称
2	0	2	1	0	CMenuItemSprite	-190	1	0	0	0	0	0	0	0	resource/image/newskill/guan_z.png	resource/image/newskill/guan_l.png	0	0	0	0	0	693	570	726	510	670	570	691.33	510	665.73	510	-1	关闭按钮
3	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/kuang65.png	0	0	0	0	0.5	0.5	535	544	568	484	512	544	533.33	484	507.73	484	-1	技能框背景
4	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	535	544	568	484	512	544	533.33	484	507.73	484	-1	技能图标
5	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/wenk.png	0	0	0	0	0	0	343	443	376	383	320	443	341.33	383	315.73	383	-1	技能效果背景
6	0	3	1	0	CCLabelTTF	0	1	275	96	0	0	0	0	0	0	0	0	0	0	0.5	0.5	408	460	441	400	385	460	406.33	400	380.73	400	-1	技能效果文字
7	0	4	1	0	CCLabelTTFMultiline	0	1	0	42	0	0	0	0	0	0	0	0	250	90	0	1	478	478	511	418	455	478	476.33	418	450.73	418	-1	描述 三行吧
8	0	4	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/getiao.png	0	0	400	2	0.5	0.5	533	387	566	327	510	387	531.33	327	505.73	327	-1	描述 分割
9	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/wenk.png	0	0	0	0	0	0	343	348	376	288	320	348	341.33	288	315.73	288	-1	发送时机背景
10	0	3	1	0	CCLabelTTF	0	1	276	96	0	0	0	0	0	0	0	0	0	0	0.5	0.5	408	365	441	305	385	365	406.33	305	380.73	305	-1	发动时机标签
11	0	4	1	0	CCLabelTTF	0	1	75	42	0	0	0	0	0	0	0	0	0	0	0	0.5	478	367	511	307	455	367	476.33	307	450.73	307	-1	发动时机呢偶像
12	0	4	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/getiao.png	0	0	400	2	0.5	0.5	533	343	566	283	510	343	531.33	283	505.73	283	-1	发动分割
