INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxzhb/yxzhb_diban2.png	0	0	0	0	0.5	0.5	565	358	591	294	535	358	557.33	294	531.73	294	-1	背景
1	0	1	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	90	124	26	68	90	90.33	26	64.73	26	-1	信息面板
2	0	1	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	150	548	176	484	105	548	142.33	484	116.73	484	-1	战魂装备框1
3	0	1	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	475	548	501	484	430	548	467.33	484	441.73	484	-1	战魂装备框2
4	0	1	0.8	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/suo_b.png	0	0	0	0	0.5	0.5	475	548	501	484	430	548	467.33	484	441.73	484	-1	锁2
5	0	2	1	0	CCLabelTTFMultiline	0	1	612	118	0	0	0	0	0	0	0	0	0	0	0.5	0.5	475	523	501	459	430	523	467.33	459	441.73	459	-1	等级2
6	0	1	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	150	275	176	211	105	275	142.33	211	116.73	211	-1	战魂装备框3
7	0	1	0.8	0	CCSprite	0	1	0	49	0	0	0	0	0	resource/image/newpublic/suo_b.png	0	0	0	0	0.5	0.5	150	275	176	211	105	275	142.33	211	116.73	211	-1	锁3
8	0	2	1	0	CCLabelTTFMultiline	0	1	612	118	0	0	0	0	0	0	0	0	0	0	0.5	0.5	150	250	176	186	105	250	142.33	186	116.73	186	-1	等级3
9	0	1	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	475	275	501	211	430	275	467.33	211	441.73	211	-1	战魂装备框4
10	0	1	0.8	0	CCSprite	0	1	0	49	0	0	0	0	0	resource/image/newpublic/suo_b.png	0	0	0	0	0.5	0.5	475	275	501	211	430	275	467.33	211	441.73	211	-1	锁4
11	0	2	1	0	CCLabelTTFMultiline	0	1	612	118	0	0	0	0	0	0	0	0	0	0	0.5	0.5	475	250	501	186	430	250	467.33	186	441.73	186	-1	等级4
12	0	1	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	328	315	354	251	298	315	320.33	251	294.73	251	-1	英雄结点
13	0	2	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star_b.png	resource/image/newpublic/cards_star_a.png	0	-8	0	0	0	195	562	221	498	165	562	187.33	498	161.73	498	-1	星级
14	0	2	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	333	616	359	552	303	616	325.33	552	299.73	552	-1	名称
15	0	1	1	0	CTableView	-1	0	0	0	0	0	0	0	0	0	0	0	480	420	0	0	550	200	576	136	520	200	542.33	136	516.73	136	-1	左战魂容器
16	0	1	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	140	0	0	170	567	196	503	140	567	162.33	503	136.73	503	-1	左战魂容器子项
17	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tubiaomingchengdiban.png	0	0	0	0	0.5	0.5	666	155	692	91	636	155	658.33	91	632.73	91	-1	力量背景
18	0	2	1	0	CMenuItemSpriteSelected	-5	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_bg_2.png	resource/image/newpublic/toggle_2.png	0	0	0	0.5	0.5	610	155	636	91	580	155	602.33	91	576.73	91	-1	力量选框
19	0	3	1	0	CCLabelTTF	0	1	101	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	670	155	696	91	640	155	662.33	91	636.73	91	-1	力量文字
20	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tubiaomingchengdiban.png	0	0	0	0	0.5	0.5	796	155	822	91	766	155	788.33	91	762.73	91	-1	敏捷背景
21	0	2	1	0	CMenuItemSpriteSelected	-5	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_bg_2.png	resource/image/newpublic/toggle_2.png	0	0	0	0.5	0.5	740	155	766	91	710	155	732.33	91	706.73	91	-1	敏捷选框
22	0	3	1	0	CCLabelTTF	0	1	102	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	800	155	826	91	770	155	792.33	91	766.73	91	-1	敏捷文字
23	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tubiaomingchengdiban.png	0	0	0	0	0.5	0.5	926	155	952	91	896	155	918.33	91	892.73	91	-1	智力背景
24	0	2	1	0	CMenuItemSpriteSelected	-5	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_bg_2.png	resource/image/newpublic/toggle_2.png	0	0	0	0.5	0.5	870	155	896	91	840	155	862.33	91	836.73	91	-1	智力选框
25	0	3	1	0	CCLabelTTF	0	1	103	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	930	155	956	91	900	155	922.33	91	896.73	91	-1	智力文字
26	0	2	1	0	CCLabelTTFMultiline	0	1	1209	100	0	0	0	0	0	0	0	0	400	0	0.5	0.5	810	550	830	500	753	550	810	470	784.4	470	-1	战魂提示
