INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-10	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	背景
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newhuifu/smzq_jiemianbj.png	0	0	0	0	0.5	0.5	643	340	676	301	620	370	641.33	301	615.73	301	-1	背景
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newhuifu/dhqp_wq.png	0	0	0	0	0.5	0.5	723	520	756	481	700	550	721.33	481	695.73	481	-1	介绍框背景
3	0	1	1	0	CCLabelTTFMultiline	0	1	362	83	0	0	0	0	0	0	0	0	260	0	0	1	603	555	636	516	580	585	601.33	516	575.73	516	-1	描述
4	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newhuifu/toumingtishikuang.png	0	0	0	0	0.5	0.5	583	230	616	191	560	260	581.33	191	555.73	191	-1	时间框背景
5	0	1	1	0	CCLabelTTF	0	1	363	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	583	260	616	221	560	290	581.33	221	555.73	221	-1	开放时间
6	0	1	1	0	CCLabelTTF	0	1	364	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	583	230	616	191	560	260	581.33	191	555.73	191	-1	中午时间
7	0	1	1	0	CCLabelTTF	0	1	365	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	583	200	616	161	560	230	581.33	161	555.73	161	-1	下午时间
8	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	583	130	616	91	560	160	581.33	91	555.73	91	-1	进入按钮
9	0	1	1	0	CCLabelTTF	0	1	366	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	583	130	616	91	560	160	581.33	91	555.73	91	-1	进入按钮文字
