INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newlogin/bg.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	"udBG,"
1	1	2	1	0	CProgressInnerBar	0	1	0	0	0	0	0	0	0	resource/image/newlogin/login_progress_bar.png	0	0	0	0	0	0	209	93	233	93	177	93	198.33	93	172.73	93	-1	"udPROGRESS,"
2	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newlogin/login_progress_rect.png	0	0	0	0	0.5	0.5	544	100	568	100	512	100	533.33	100	507.73	100	-1	"udPROGRESS_BG,"
3	1	3	1	0	CCLabelTTF	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	100	568	100	512	100	533.33	100	507.73	100	-1	"udPERCENTLABEL,"
4	1	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newlogin/dl_diban.png	0	0	0	0	0.5	0.5	538	131	568	131	512	175	534.33	131	508.73	131	54	选服按钮
5	1	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newlogin/anniu_l.png	resource/image/newlogin/anniu_zc.png	0	0	0	0.5	0.5	538	51	568	51	512	95	534.33	51	508.73	51	54	进入游戏
6	1	1	1	0	CCLabelTTF	0	1	641	83	0	0	0	0	0	0	0	0	0	0	0	0.5	346	136	376	136	320	180	342.33	136	316.73	136	-1	服务器名字
7	1	2	1	0	CSprite	0	1	0	0	0	0	0	0	0	resource/image/newfwxuanze/weihuzhong.png	resource/image/newfwxuanze/xinfu.png	resource/image/newfwxuanze/huobao.png	0	0	0	0.5	556	136	586	136	530	180	552.33	136	526.73	136	-1	服务器状态
8	1	1	1	0	CCLabelTTF	0	1	1212	84	0	0	0	0	0	0	0	0	0	0	0	0.5	631	136	661	136	605	180	627.33	136	601.73	136	-1	服务器提示
9	1	0	1	0	CCLabelTTF	0	1	641	104	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	56	568	56	512	100	534.33	56	508.73	56	-1	"udENTERLABEL,"
10	1	0	1	0	CCLabelTTF	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	197	568	176	512	240	533.33	176	507.73	176	-1	udFILECOUNT
11	0	1	1	0	CCSprite	0	1	0	2	0	0	0	0	0	resource/image/newlogin/logo.png	0	0	0	0	0.5	0.5	282	597	286	540	230	640	251.33	540	225.73	540	-1	"udBG,"
12	0	0	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	20	20	20	20	20	20	-1	udVERSION
