INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/zhaohuangongyong_beijingtu.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	"kBG,"
1	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/diban1.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	"kBG_2,"
2	1	10	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/uparrow.png	0	0	0	0	0.5	0.5	216	587	246	566	190	630	211.33	566	185.73	566	-1	"kARROW_UP,"
3	0	10	1	180	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	216	587	246	566	190	630	211.33	566	185.73	566	-1	上骨骼箭头动画
4	1	10	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/downarrow.png	0	0	0	0	0.5	0.5	216	162	246	141	190	205	211.33	141	185.73	141	-1	"kARROW_DOWN,"
5	0	10	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	216	162	246	141	190	205	211.33	141	185.73	141	-1	下骨骼箭头动画
6	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/getiao.png	0	0	0	0	0	0	406	37	436	16	380	80	401.33	16	375.73	16	-1	"kDECORATION,"
7	0	3	1	0	CMenuItemSprite	-3	1	0	0	0	0	0	0	0	resource/image/newpublic/help.png	resource/image/newpublic/help_l.png	0	0	0	0.5	0.5	916	622	946	601	890	665	911.33	601	885.73	601	-1	"kHELP,"
8	0	3	1	0	CMenuItemSprite	-3	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1011	622	1041	601	985	665	1006.33	601	980.73	601	-1	"kCLOSE,"
9	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zuanshidiban.png	0	0	0	0	0.5	0.5	136	67	166	46	110	110	131.33	46	105.73	46	-1	"kDIAMONDBAR,"
10	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbidiban.png	0	0	0	0	0.5	0.5	326	67	356	46	300	110	321.33	46	295.73	46	-1	"kGOLDBAR,"
11	0	4	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	156	67	186	46	130	110	151.33	46	125.73	46	-1	"kDIAMOND_LABEL,"
12	0	4	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	346	67	376	46	320	110	341.33	46	315.73	46	-1	"kGOLD_LABEL,"
13	0	1	1	0	CTabMenuItemSprite	-3	1	0	0	0	0	0	0	0	resource/image/newpublic/yeqian_zhc.png	resource/image/newpublic/yeqian_anx.png	0	0	0	0.5	0.5	126	637	156	616	100	680	121.33	616	95.73	616	-1	"kTAB_1,"
14	0	2	1	0	CCLabelTTF	0	1	234	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	126	637	156	616	100	680	121.33	616	95.73	616	-1	"kTAB_1_LABEL,"
15	0	1	1	0	CTabMenuItemSprite	-3	1	0	0	0	0	0	0	0	resource/image/newpublic/yeqian_zhc.png	resource/image/newpublic/yeqian_anx.png	0	0	0	0.5	0.5	296	637	326	616	270	680	291.33	616	265.73	616	-1	"kTAB_2,"
16	0	2	1	0	CCLabelTTF	0	1	235	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	296	637	326	616	270	680	291.33	616	265.73	616	-1	"kTAB_2_LABEL,"
17	0	1	1	0	CTabMenuItemSprite	-3	1	0	0	0	0	0	0	0	resource/image/newpublic/yeqian_zhc.png	resource/image/newpublic/yeqian_anx.png	0	0	0	0.5	0.5	466	637	496	616	440	680	461.33	616	435.73	616	-1	"kTAB_3,"
18	0	2	1	0	CCLabelTTF	0	1	236	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	466	637	496	616	440	680	461.33	616	435.73	616	-1	"kTAB_3_LABEL,"
19	0	1	1	0	CTabMenuItemSprite	-3	1	0	0	0	0	0	0	0	resource/image/newpublic/yeqian_zhc.png	resource/image/newpublic/yeqian_anx.png	0	0	0	0.5	0.5	636	637	666	616	610	680	631.33	616	605.73	616	-1	"kTAB_4,"
20	0	2	1	0	CCLabelTTF	0	1	7035	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	636	637	666	616	610	680	631.33	616	605.73	616	-1	"kTAB_4_LABEL,"
21	0	1	1	0	CTableView	-1	0	0	0	0	0	0	0	0	0	0	0	330	400	0	0	61	177	91	156	35	220	56.33	156	30.73	156	-1	"kTABLE,"
