INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CPriorityLayerColor	-138	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	灰层
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/diban2.png	0	0	0	0	0.5	0.5	564	407	568	386	512	450	533.33	386	507.73	386	-1	主背景
2	0	1	1	0	CCLabelTTF	0	1	613	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	382	517	386	496	330	560	351.33	496	325.73	496	-1	提示字
3	0	1	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	752	517	756	496	700	560	721.33	496	695.73	496	-1	倒计时时间
4	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	0	0	0.5	0.5	372	455	376	434	320	498	341.33	434	315.73	434	-1	铜质宝箱背板
5	0	2	1	0	CCLabelTTF	0	1	48	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	372	455	376	434	320	498	341.33	434	315.73	434	-1	铜质宝箱字
6	0	2	1	0	CMenuItemSprite	-139	1	0	0	0	0	0	0	0	resource/image/newancient/tongbaoxiang.png	0	0	0	0	0.5	0.5	372	361	376	340	320	404	341.33	340	315.73	340	-1	铜质宝箱图
7	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/baoxiangliangbian.png	0	0	0	0	0.5	0.5	372	361	376	340	320	404	341.33	340	315.73	340	-1	选中图
8	0	3	1	0	CCLabelTTF	0	1	51	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	372	279	376	258	320	322	341.33	258	315.73	258	-1	免费字
9	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	0	0	0.5	0.5	564	455	568	434	512	498	533.33	434	507.73	434	-1	银质宝箱背板
10	0	2	1	0	CCLabelTTF	0	1	49	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	455	568	434	512	498	533.33	434	507.73	434	-1	银质宝箱字
11	0	2	1	0	CMenuItemSprite	-139	1	0	0	0	0	0	0	0	resource/image/newancient/yinbaoxiang.png	0	0	0	0	0.5	0.5	564	361	568	340	512	404	533.33	340	507.73	340	-1	银质宝箱图
12	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/baoxiangliangbian.png	0	0	0	0	0.5	0.5	564	361	568	340	512	404	533.33	340	507.73	340	-1	选中图
13	0	2	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	1	0.5	558	279	562	258	506	322	527.33	258	501.73	258	-1	钻石字
14	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon_b.png	0	0	0	0	0.5	0.5	582	279	586	258	530	322	551.33	258	525.73	258	-1	钻石图
15	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	0	0	0.5	0.5	756	455	760	434	704	498	725.33	434	699.73	434	-1	金质宝箱背板
16	0	2	1	0	CCLabelTTF	0	1	50	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	756	455	760	434	704	498	725.33	434	699.73	434	-1	金质宝箱字
17	0	2	1	0	CMenuItemSprite	-139	1	0	0	0	0	0	0	0	resource/image/newancient/jinbaoxiang.png	0	0	0	0	0.5	0.5	756	361	760	340	704	404	725.33	340	699.73	340	-1	金质宝箱图
18	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/baoxiangliangbian.png	0	0	0	0	0.5	0.5	756	361	760	340	704	404	725.33	340	699.73	340	-1	选中图
19	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/jianbiandiban.png	0	0	0	0	0.5	0.5	756	321	760	300	704	364	725.33	300	699.73	300	-1	需要vip底板
20	0	4	1	0	CCLabelTTF	0	1	52	90	0	0	0	0	0	0	0	0	0	0	0.5	0.5	756	321	760	300	704	364	725.33	300	699.73	300	-1	需要vip字
21	0	2	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	1	0.5	750	279	754	258	698	322	719.33	258	693.73	258	-1	钻石字
22	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon_b.png	0	0	0	0	0.5	0.5	774	279	778	258	722	322	743.33	258	717.73	258	-1	钻石图
