INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/beijingditu.png	0	0	0	0	0.5	0.5	564	341	568	320	512	384	533.33	320	507.73	320	-1	背景
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/diban.png	0	0	0	0	0.5	0.5	564	332	568	311	512	375	533.33	311	507.73	311	-1	展板
2	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1004	627	1008	606	952	670	973.33	606	947.73	606	-1	关闭按钮
3	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/help.png	resource/image/newpublic/help_l.png	0	0	0	0.5	0.5	906	627	910	606	854	670	875.33	606	849.73	606	-1	帮助按钮
4	0	1	1	0	CCLabelTTF	0	1	587	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	538	568	517	512	581	533.33	517	507.73	517	-1	当日挑战次数
5	1	5	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hongseanniu_zhengc.png	resource/image/newpublic/hongseanniu_anxia.png	0	0	0	0.5	0.5	889	547	893	526	837	590	858.33	526	832.73	526	-1	秘宝商店按钮
6	1	6	1	0	CCLabelTTF	0	1	31	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	889	547	893	526	837	590	858.33	526	832.73	526	-1	秘宝商店按钮字
7	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/leftarrow.png	0	0	0	0	0.5	0.5	139	411	143	390	87	454	108.33	390	82.73	390	-1	向左箭头
8	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/rightarrow.png	0	0	0	0	0.5	0.5	989	411	993	390	937	454	958.33	390	932.73	390	-1	向右箭头
9	1	10	1	90	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	139	411	143	390	87	454	108.33	390	82.73	390	-1	左骨骼箭头动画
10	1	20	1	-90	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	989	411	993	390	937	454	958.33	390	932.73	390	-1	右骨骼箭头动画
11	0	1	1	0	CCLabelTTF	0	1	26	43	0	0	0	0	0	0	0	0	0	0	0	0	208	158	212	137	156	201	177.33	137	151.73	137	-1	通关有几率获得：
12	0	2	1	0	DTAwardBoard	0	1	3	1	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	248	117	252	96	196	160	217.33	96	191.73	96	-1	奖励1
13	0	2	1	0	DTAwardBoard	0	1	3	1	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	353	117	357	96	301	160	322.33	96	296.73	96	-1	奖励2
14	0	2	1	0	DTAwardBoard	0	1	3	1	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	458	117	462	96	406	160	427.33	96	401.73	96	-1	奖励3
15	0	2	1	0	DTAwardBoard	0	1	3	1	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	563	117	567	96	511	160	532.33	96	506.73	96	-1	奖励4
16	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_g.png	resource/image/newpublic/button_l.png	0	0	0.5	0.5	877	126	881	105	825	169	846.33	105	820.73	105	-1	开始闯关/继续闯关
17	0	3	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	877	126	881	105	825	169	846.33	105	820.73	105	-1	开始继续字
18	1	3	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/dotajt.json	resource/spine/dotajt.atlas	zzdaiji	0	0	0.5	0.5	877	140	881	120	825	185	846.33	120	820.73	120	-1	骨骼箭头动画
19	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_g.png	resource/image/newpublic/button_l.png	0	0	0.5	0.5	686	126	690	105	634	169	655.33	105	629.73	105	-1	重置进度按钮
20	0	2	1	0	CCLabelTTF	0	1	27	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	686	126	690	105	634	169	655.33	105	629.73	105	-1	重置进度按钮字
21	0	2	1	0	CCLabelTTF	0	1	6096	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	827	77	831	56	775	120	794.33	56	770.73	56	-1	消耗次数提示
22	0	2	1	0	CTableView	-1	0	0	0	0	0	0	0	0	0	0	0	770	280	0	0	177	250	181	229	125	293	146.33	229	120.73	229	-1	tableview
23	0	2	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	250	280	0	0	0	0	0	0	0	0	0	0	0	0	-1	tableviewcell
24	0	10	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	通关奖励页面挂载点
25	1	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newancient/xuanzekuang.png	resource/image/newancient/liangkuang.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	副本选中亮框定义
