INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/bunengxuantu.png	resource/image/newancient/bunengxuantu.png	0	0	0	0.5	0.5	135	148	135	148	135	148	135	148	135	148	-1	底板
1	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/bunengxuantu.png	0	0	0	0	0.5	0.5	135	148	135	148	135	148	135	148	135	148	-1	副本图
2	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/bunengxuantu.png	0	0	0	0	0.5	0.5	135	148	135	148	135	148	135	148	135	148	-1	副本图灰层
3	0	4	1	0	CSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/jianbiandiban.png	0	0	0	0	0.5	0.5	133	122	133	122	133	122	133	122	133	122	-1	副本名称背景
4	0	5	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	133	122	133	122	133	122	133	122	133	122	-1	副本名称
5	0	5	1	0	CCLabelTTF	0	1	0	86	0	0	0	0	0	0	0	0	0	0	1	0	226	57	226	57	226	57	226	57	226	57	-1	参与人数
6	0	5	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	127	13	127	13	127	13	127	13	127	13	-1	副本进度
7	0	5	1	0	CCLabelTTF	0	1	589	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	132	68	132	68	132	68	132	68	132	68	-1	需要等级
8	0	4	1	0	CSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/jianbiandiban.png	0	0	0	0	0.5	0.5	133	122	133	122	133	122	133	122	133	122	-1	前置副本名称背景
9	0	5	1	0	CCLabelTTF	0	1	0	118	0	0	0	0	0	0	0	0	0	0	0.5	0.5	133	122	133	122	133	122	133	122	133	122	-1	前置副本名称
