INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
1	0	2	1	0	CPriorityLayerColor	-190	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	»Ò²ã
2	0	3	1.8	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	293	420	316	400	260	450	281.33	380	255.73	380	-1	È¦1
3	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	270	210	0.5	0.5	523	400	546	380	490	430	531.33	380	505.73	380	-1	±³¾°1
4	0	3	1	270	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	0	0	0.5	0.5	393	415	416	395	360	445	401.33	395	375.73	395	-1	¼ýÍ·1
5	0	5	1	0	CCLabelTTFMultiline	0	1	696	68	0	0	0	0	0	0	0	0	230	180	0.5	0.5	523	387	546	367	490	417	531.33	367	505.73	367	-1	ÎÄ×Ö1
6	0	3	1.2	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	233	140	256	120	200	170	206.33	110	180.73	110	-1	È¦2
7	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	270	140	0.5	0.5	443	145	466	125	410	175	431.33	125	405.73	125	-1	±³¾°2
8	0	3	1	-90	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	0	0	0.5	0.5	313	143	336	123	280	173	301.33	123	275.73	123	-1	¼ýÍ·2
9	0	5	1	0	CCLabelTTFMultiline	0	1	697	68	0	0	0	0	0	0	0	0	230	160	0.5	0.5	443	108	466	88	410	138	431.33	88	405.73	88	-1	ÎÄ×Ö2
14	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/npc.png	0	0	0	0	0.5	0.5	833	220	856	200	800	250	821.33	200	795.73	200	-1	ÈË
