INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/beijingditu.png	0	0	0	0	0.5	0.5	538	364	568	340	512	384	533.33	340	507.73	340	-1	背景
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/diban3.png	0	0	0	0	0.5	0.5	538	370	568	346	512	390	533.33	346	507.73	346	-1	底板
2	0	3	1	0	CCLabelTTF	0	1	0	52	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	630	568	606	512	650	533.33	606	507.73	606	-1	副本名字
3	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1018	630	1048	606	992	650	1013.33	606	987.73	606	-1	关闭按钮
4	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	882	86	912	62	856	106	877.33	62	851.73	62	-1	开始按钮
5	0	2	1	0	CCLabelTTF	0	1	36	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	882	86	912	62	856	106	877.33	62	851.73	62	-1	开始按钮字
6	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	773	86	803	62	747	106	768.33	62	742.73	62	-1	离开队伍按钮
7	0	2	1	0	CCLabelTTF	0	1	39	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	773	86	803	62	747	106	768.33	62	742.73	62	-1	离开队伍按钮字
8	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	643	86	673	62	617	106	638.33	62	612.73	62	-1	解散队伍按钮
9	0	2	1	0	CCLabelTTF	0	1	37	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	643	86	673	62	617	106	638.33	62	612.73	62	-1	解散队伍按钮字
10	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	773	86	803	62	747	106	768.33	62	742.73	62	-1	创建队伍按钮
11	0	2	1	0	CCLabelTTF	0	1	38	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	773	86	803	62	747	106	768.33	62	742.73	62	-1	创建队伍按钮字
12	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/yijianhanhua_zhengchang.png	resource/image/newpublic/yijianhanhua_an.png	resource/image/newpublic/yijianhanhua_hui.png	0	0	0.5	0.5	56	640	86	610	30	660	51.33	610	25.73	610	-1	一键喊话按钮
13	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/yijianhanhuadikuang.png	resource/image/newpublic/yijianhanhuadikuang.png	resource/image/newpublic/yijianhanhuadikuang.png	0	0	0.5	0.5	114	640	144	610	88	660	109.33	610	83.73	610	-1	一键喊话字底图
14	0	2	1	0	CCLabelTTF	0	1	601	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	126	640	156	610	100	660	121.33	610	95.73	610	-1	一键喊话按钮字
15	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/youcexinxikuang.png	0	0	0	0	0	0	538	440	568	416	512	460	533.33	416	507.73	416	-1	底板1
16	0	3	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	653	510	683	486	627	530	648.33	486	622.73	486	-1	人物头像质量图1
17	0	3	1	0	CCLabelTTF	0	1	331	83	0	0	0	0	0	0	0	0	0	0	0	0.5	701	510	731	486	675	530	696.33	486	670.73	486	-1	外套名字1
18	0	3	1	0	CCLabelTTF	0	1	527	85	0	0	0	0	0	0	0	0	0	0	0	0.5	701	481	731	457	675	501	696.33	457	670.73	457	-1	战力1
19	0	3	1	0	CCLabelTTF	0	1	335	84	0	0	0	0	0	0	0	0	0	0	0	0.5	701	539	731	515	675	559	696.33	515	670.73	515	-1	人物名称1
20	0	3	1	0	CCLabelTTF	0	1	336	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	653	458	683	434	627	478	648.33	434	622.73	434	-1	社会关系1
21	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/youcexinxikuang.png	0	0	0	0	0	0	538	290	568	266	512	310	533.33	266	507.73	266	-1	底板2
22	0	3	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	653	360	683	336	627	380	648.33	336	622.73	336	-1	人物头像质量图2
23	0	3	1	0	CCLabelTTF	0	1	331	83	0	0	0	0	0	0	0	0	0	0	0	0.5	701	360	731	336	675	380	696.33	336	670.73	336	-1	外套名字2
24	0	3	1	0	CCLabelTTF	0	1	527	85	0	0	0	0	0	0	0	0	0	0	0	0.5	701	331	731	307	675	351	696.33	307	670.73	307	-1	战力2
25	0	3	1	0	CCLabelTTF	0	1	335	84	0	0	0	0	0	0	0	0	0	0	0	0.5	701	389	731	365	675	409	696.33	365	670.73	365	-1	人物名称2
26	0	3	1	0	CCLabelTTF	0	1	336	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	653	308	683	284	627	328	648.33	284	622.73	284	-1	社会关系2
27	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/youcexinxikuang.png	0	0	0	0	0	0	538	140	568	116	512	160	533.33	116	507.73	116	-1	底板3
28	0	3	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	653	210	683	186	627	230	648.33	186	622.73	186	-1	人物头像质量图3
29	0	3	1	0	CCLabelTTF	0	1	331	83	0	0	0	0	0	0	0	0	0	0	0	0.5	701	210	731	186	675	230	696.33	186	670.73	186	-1	外套名字3
30	0	3	1	0	CCLabelTTF	0	1	527	85	0	0	0	0	0	0	0	0	0	0	0	0.5	701	181	731	157	675	201	696.33	157	670.73	157	-1	战力3
31	0	3	1	0	CCLabelTTF	0	1	335	84	0	0	0	0	0	0	0	0	0	0	0	0.5	701	239	731	215	675	259	696.33	215	670.73	215	-1	人物名称3
32	0	3	1	0	CCLabelTTF	0	1	336	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	653	158	683	134	627	178	648.33	134	622.73	134	-1	社会关系3
33	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	0	0	0	0.5	0.5	931	540	961	516	905	560	926.33	516	900.73	516	-1	移除按钮1
34	0	3	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	931	540	961	516	905	560	926.33	516	900.73	516	-1	移除按钮字1
35	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	0	0	0	0.5	0.5	931	480	961	456	905	500	926.33	456	900.73	456	-1	查看按钮1
36	0	3	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	931	480	961	456	905	500	926.33	456	900.73	456	-1	查看按钮字1
37	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	0	0	0	0.5	0.5	931	390	961	366	905	410	926.33	366	900.73	366	-1	移除按钮2
38	0	3	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	931	390	961	366	905	410	926.33	366	900.73	366	-1	移除按钮字2
39	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/button_2_l.png	0	0	0	0.5	0.5	931	330	961	306	905	350	926.33	306	900.73	306	-1	查看按钮2
40	0	3	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	931	330	961	306	905	350	926.33	306	900.73	306	-1	查看按钮字2
