INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/xinxk.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	背景
1	0	1	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	65	75	65	75	65	75	65	75	65	75	-1	品质图
2	0	1	1	0	CCLabelTTF	0	1	0	84	0	0	0	0	0	0	0	0	0	0	0	0.5	120	103	120	103	120	103	120	103	120	103	-1	玩家名称
3	0	1	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	0	0.5	120	79	120	79	120	79	120	79	120	79	-1	外套名称及强化等级
4	0	1	1	0	CCLabelTTF	0	1	0	92	0	0	0	0	0	0	0	0	0	0	0.5	0.5	65	24	65	24	65	24	65	24	65	24	-1	等级
5	0	1	1	0	CCLabelTTF	0	1	527	112	0	0	0	0	0	0	0	0	0	0	0	0.5	120	54	120	54	120	54	120	54	120	54	-1	战力
6	0	1	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	0	0.5	180	54	180	54	180	54	180	54	180	54	-1	战力值
7	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon.png	0	0	0	0	0.5	0.5	470	35	470	35	470	35	470	35	470	35	-1	金币图
8	0	2	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	1	0.5	440	35	440	35	440	35	440	35	440	35	-1	金钱值
9	0	1	1	0	CMenuItemSprite	-21	1	0	0	0	0	0	0	0	resource/image/newpublic/lvseanniu_zhengc.png	resource/image/newpublic/lvseanniu_anxia.png	0	0	0	0.5	0.5	440	75	440	75	440	75	440	75	440	75	-1	雇佣按钮
10	0	2	1	0	CCLabelTTF	0	1	2038	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	440	75	440	75	440	75	440	75	440	75	-1	雇佣按钮字
