INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/xinxk.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	背景
1	0	1	0.77	0	DTHeroIcon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	65	75	65	75	65	75	65	75	65	75	-1	品质图
2	0	1	1	0	CCLabelTTF	0	1	0	84	0	0	0	0	0	0	0	0	0	0	0	0.5	120	103	120	103	120	103	120	103	120	103	-1	玩家名称
3	0	1	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	0	0.5	120	79	120	79	120	79	120	79	120	79	-1	外套名称及强化等级
4	0	1	1	0	CCLabelTTF	0	1	0	92	0	0	0	0	0	0	0	0	0	0	0.5	0.5	65	24	65	24	65	24	65	24	65	24	-1	等级
5	0	1	1	0	CCLabelTTF	0	1	527	112	0	0	0	0	0	0	0	0	0	0	0	0.5	120	54	120	54	120	54	120	54	120	54	-1	战力
6	0	1	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	0	0.5	180	54	180	54	180	54	180	54	180	54	-1	战力值
7	0	1	1	0	CCLabelTTF	0	1	663	112	0	0	0	0	0	0	0	0	0	0	0	0.5	120	29	120	29	120	29	120	29	120	29	-1	剩余奴役时间
8	0	2	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0.5	276	29	276	29	276	29	276	29	276	29	-1	时间值
9	0	1	1	0	CMenuItemSprite	-21	1	0	0	0	0	0	0	0	resource/image/newpublic/lvseanniu_zhengc.png	resource/image/newpublic/lvseanniu_anxia.png	0	0	0	0.5	0.5	440	74	440	74	440	74	440	74	440	74	-1	召唤按钮
10	0	2	1	0	CCLabelTTF	0	1	2040	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	440	74	440	74	440	74	440	74	440	74	-1	召唤按钮字
11	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newancient/shuzk.png	0	0	0	0	0	0.5	250	29	250	29	250	29	250	29	250	29	-1	剩余时间背景
