INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-40	1	0	0	0	0	0	0	200	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	遮罩层
1	1	2	1	0	DTAwardBoard	0	1	0	91	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	220	556	218	486	192	580	213.33	486	187.73	486	-1	物品
2	1	2	0.77	0	DTHeroIcon	-5	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	220	551	218	481	192	575	213.33	481	187.73	481	-1	人物头像
3	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/li.png	0	0	0	0	0.5	0.5	180	576	178	506	152	600	173.33	506	147.73	506	-1	人物类型
4	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/yyy.png	0	0	0	0	0.5	0.5	220	556	218	486	192	580	213.33	486	187.73	486	-1	已拥有
5	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/new.png	0	0	0	0	0.5	0.5	260	576	258	506	232	600	253.33	506	227.73	506	-1	新的
6	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/mingchengdiban.png	0	0	0	0	0.5	0.5	220	496	218	426	192	520	213.33	426	187.73	426	-1	名称地框
7	0	4	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	220	496	218	426	192	520	213.33	426	187.73	426	-1	名称文字
8	1	5	0.6	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star_b.png	resource/image/newpublic/cards_star_a.png	0	-8	0	0	0	156	446	154	376	128	470	149.33	376	123.73	376	-1	星阶
9	1	1	1	0	DTAwardBoard	0	1	0	91	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	380	556	378	486	352	580	373.33	486	347.73	486	-1	物品
