INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-191	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	灰层
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newbag/plgmk_02.png	0	0	0	0	0.5	0.5	564	341	568	320	512	384	533.33	320	507.73	320	-1	主背景
2	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	442	568	421	512	485	533.33	421	507.73	421	-1	标题背景
3	0	3	1	0	CCLabelTTF	0	1	617	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	442	568	421	512	485	533.33	421	507.73	421	-1	标题
4	0	3	1	0	CCLabelTTFMultiline	0	1	0	49	0	0	0	0	0	0	0	0	424	112	0	1	352	377	356	356	300	420	321.33	356	295.73	356	-1	内容
5	0	4	1	0	CMenuItemSprite	-251	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	662	207	666	186	610	250	631.33	186	605.73	186	-1	确认按钮
6	0	4	1	0	CCLabelTTF	0	1	285	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	662	207	666	186	610	250	631.33	186	605.73	186	-1	确认按钮字图
7	0	4	1	0	CMenuItemSprite	-251	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	462	207	466	186	410	250	431.33	186	405.73	186	-1	返回按钮
8	0	4	1	0	CCLabelTTF	0	1	549	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	462	207	466	186	410	250	431.33	186	405.73	186	-1	返回按钮字图
9	0	4	1	0	CMenuItemSprite	-251	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	662	207	666	186	610	250	631.33	186	605.73	186	-1	确认按钮
10	0	4	1	0	CCLabelTTF	0	1	285	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	662	207	666	186	610	250	631.33	186	605.73	186	-1	确认按钮字图
