INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	1	-1	1	0	CPriorityLayerColor	-119	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	遮罩层
1	1	5	1	0	SceneEffect	0	1	0	0	0	2013	0	0	0	0	0	0	0	0	0.5	0.5	538	341	568	285	512	384	533.33	285	507.73	285	-1	精灵节点
2	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0.5	0.5	538	341	568	285	512	384	533.33	285	507.73	285	-1	背景框
3	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newvip/vip_diban.png	0	0	0	0	0.5	0.5	538	367	568	311	512	410	533.33	311	507.73	311	-1	主背景
4	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/vip_icon.png	0	0	0	0	0.5	0.5	176	571	206	515	150	614	171.33	515	145.73	515	-1	viplogo图片
5	0	3	1	0	CCLabelTTF	0	1	0	108	0	0	0	0	0	0	0	0	0	0	0.5	0.5	176	541	206	485	150	584	171.33	485	145.73	485	-1	viplogo级别文字
6	0	3	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	611	568	555	512	654	533.33	555	507.73	555	-1	当前级别文字
7	0	3	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	533	568	477	512	576	533.33	477	507.73	477	-1	充值之后级别文字
8	0	3	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	571	568	515	512	614	533.33	515	507.73	515	-1	充值条文字
9	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jindutiao_di.png	0	0	0	0	0	0	318	551	348	495	292	594	313.33	495	287.73	495	-1	经验条背景
10	0	0	2	0	CProgressInnerBar	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jindutiao.png	0	0	0	0	0	0	353	563	383	507	327	606	348.33	507	322.73	507	-1	经验条
11	0	0	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tubiaomingchengdiban.png	0	0	470	32	0.5	0.5	386	461	416	405	360	504	381.33	405	355.73	405	-1	文字特权文字背景
12	0	3	1	0	CCLabelTTF	0	1	0	109	0	0	0	0	0	0	0	0	0	0	0.5	0.5	386	461	416	405	360	504	381.33	405	355.73	405	-1	文字特权文字
13	0	1	1	0	CMenuItemSprite	-120	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1016	661	1046	605	990	704	1011.33	605	985.73	605	-1	关闭按钮
14	0	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dahongseanniu_down.png	resource/image/newpublic/dahongseanniu_up.png	resource/image/newpublic/dahongseanniu_downhui.png	0	0	0.5	0.5	911	571	941	515	885	614	906.33	515	880.73	515	-1	每天奖励按钮
15	0	0	1	0	CCLabelTTF	0	1	913	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	911	571	941	515	885	614	906.33	515	880.73	515	-1	每天奖励按钮文字
16	0	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/arrow_l.png	resource/image/newpublic/arrow_l_l.png	0	0	0	0.5	0.5	96	341	126	285	70	384	91.33	285	65.73	285	-1	向左按钮
17	0	0	1	0	CMenuItemSprite	0	1	586	0	0	0	0	0	0	resource/image/newpublic/arrow_r.png	resource/image/newpublic/arrow_r_l.png	0	0	0	0.5	0.5	980	341	1010	285	954	384	975.33	285	949.73	285	-1	向右按钮
18	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tubiaomingchengdiban.png	0	0	0	0	0.5	0.5	538	171	568	115	512	214	533.33	115	507.73	115	-1	当前页背景
19	0	3	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	171	568	115	512	214	533.33	115	507.73	115	-1	当前页数字
20	0	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	538	106	568	50	512	149	533.33	50	507.73	50	-1	立即充值按钮
21	1	4	1	0	SceneEffect	0	1	0	0	0	2042	0	0	0	0	0	0	0	0	0.5	0.5	907	582	937	526	881	625	902.33	526	876.73	526	-1	特效
22	0	3	1	0	CCLabelTTF	0	1	914	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	106	568	50	512	149	533.33	50	507.73	50	-1	立即充值按钮文字
23	0	2	1	0	CScrollView	-22	1	0	0	0	0	0	0	0	0	0	0	800	240	0	0	138	191	168	135	112	234	133.33	135	107.73	135	-1	CScrollView
24	0	2	1	0	CPriorityLayerColor	-23	1	0	0	0	0	0	0	0	0	0	0	800	240	0	0	138	191	168	135	112	234	133.33	135	107.73	135	-1	遮盖层
25	1	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/vip_wzdiban.png	0	0	0	0	0.5	0.5	800	350	820	275	800	370	800	275	774.4	275	-1	VIP底框
26	1	4	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	800	450	820	375	800	470	800	375	774.4	375	-1	VIP礼包名字
27	1	2	1	0	CImMenuItemSprite	-24	1	0	0	0	0	0	0	0	resource/image/newpublic/lb_dk.png	resource/image/newpublic/guangq.png	0	0	0	0.5	0.5	800	373	820	298	800	393	800	298	774.4	298	-1	奖励宝箱按钮
