INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	10	20	10	20	10	20	10	20	10	-1	vip_1
1	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	45	20	45	20	45	20	45	20	45	-1	vip_2
2	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	80	20	80	20	80	20	80	20	80	-1	vip_3
3	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	115	20	115	20	115	20	115	20	115	-1	vip_4
4	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	150	20	150	20	150	20	150	20	150	-1	vip_5
5	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	185	20	185	20	185	20	185	20	185	-1	vip_6
6	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	220	20	220	20	220	20	220	20	220	-1	vip_7
7	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	255	20	255	20	255	20	255	20	255	-1	vip_8
8	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	290	20	290	20	290	20	290	20	290	-1	vip_9
9	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	325	20	325	20	325	20	325	20	325	-1	vip_10
10	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	360	20	360	20	360	20	360	20	360	-1	vip_11
11	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	395	20	395	20	395	20	395	20	395	-1	vip_12
12	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	430	20	430	20	430	20	430	20	430	-1	vip_13
13	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	465	20	465	20	465	20	465	20	465	-1	vip_14
14	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	500	20	500	20	500	20	500	20	500	-1	vip_15
15	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	535	20	535	20	535	20	535	20	535	-1	vip_16
16	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	570	20	570	20	570	20	570	20	570	-1	vip_17
17	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	605	20	605	20	605	20	605	20	605	-1	vip_18
18	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	640	20	640	20	640	20	640	20	640	-1	vip_19
19	1	1	1	0	CCLabelTTF	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	675	20	675	20	675	20	675	20	675	-1	vip_20
